,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.95,0.69,0.43,0.47,0.36,0.31,0.25,0.25,0.25,0.27,0.24,0.15,0.19,0.21,0.13,0.21
e_1,0.42,0.95,0.38,0.51,0.47,0.3,0.33,0.25,0.28,0.47,0.29,0.25,0.24,0.26,0.16,0.22
d_1,0.54,0.48,0.95,0.4,0.39,0.33,0.31,0.25,0.43,0.18,0.31,0.28,0.22,0.26,0.19,0.2
c_1,0.42,0.46,0.47,0.95,0.71,0.28,0.26,0.21,0.15,0.23,0.19,0.21,0.2,0.25,0.16,0.22
b_1,0.53,0.4,0.55,0.41,0.94,0.49,0.28,0.26,0.31,0.29,0.19,0.24,0.19,0.3,0.24,0.24
a_1,0.59,0.51,0.55,0.55,0.38,0.94,0.39,0.33,0.36,0.35,0.32,0.27,0.17,0.31,0.23,0.29
h_1,0.98,0.68,0.85,0.7,0.65,0.41,0.76,0.54,0.47,0.42,0.44,0.34,0.28,0.31,0.28,0.44
g_1,0.84,0.66,1.07,0.81,0.59,0.47,0.41,0.76,0.38,0.39,0.43,0.55,0.32,0.36,0.38,0.29
c_0,0.93,0.75,0.76,0.67,0.52,0.51,0.58,0.55,0.69,0.5,0.77,0.42,0.44,0.46,0.37,0.38
d_0,0.79,0.67,0.54,1.23,0.73,0.5,0.59,0.47,0.35,0.67,0.44,0.38,0.34,0.42,0.29,0.41
b_0,0.97,0.81,0.89,0.89,0.48,0.43,0.51,0.49,0.43,0.49,0.68,0.44,0.69,0.49,0.33,0.36
f_0,0.78,0.79,0.89,0.94,0.76,0.57,0.56,0.5,0.56,0.5,0.48,0.64,0.41,0.51,0.6,0.36
a_0,0.97,0.74,1.0,0.86,0.89,0.4,0.68,0.54,0.5,0.51,0.43,0.43,0.63,0.57,0.4,0.41
h_0,1.25,0.83,1.0,0.8,0.62,0.61,0.46,0.69,0.5,0.51,0.52,0.41,0.35,0.37,0.36,0.48
e_0,1.16,0.53,1.03,1.05,0.67,0.61,0.72,0.56,0.52,0.59,0.53,0.41,0.42,0.48,0.65,0.47
g_0,0.81,0.76,1.45,0.85,0.76,0.6,0.56,0.47,0.57,0.44,0.54,0.66,0.45,0.41,0.39,0.36
