,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,1.36,1.17,1.65,3.6,16.33,31.43,31.87,33.41,42.31,,70.68,79.25,86.34,94.2
e_1,0.81,1.0,1.28,1.11,1.83,2.56,19.42,36.66,34.37,31.18,38.77,51.22,54.79,73.16,,98.32
c_1,0.74,0.78,1.0,1.21,1.6,3.89,16.7,24.76,20.76,,37.14,35.31,58.09,51.98,92.76,94.13
d_1,0.85,0.9,0.83,1.0,1.57,2.55,12.96,19.29,,35.81,41.69,37.76,68.94,65.31,88.36,53.1
b_1,0.61,0.55,0.63,0.64,1.0,3.37,10.39,17.83,21.45,26.07,,32.82,42.3,45.19,54.99,72.62
a_1,0.28,0.39,0.26,0.39,0.3,1.0,6.3,9.32,10.62,9.1,11.73,12.6,19.81,,27.46,24.94
h_1,0.06,0.05,0.06,0.08,0.1,0.16,1.0,1.8,1.83,1.86,2.33,2.31,,4.2,5.52,7.34
g_1,0.03,0.03,0.04,0.05,0.06,0.11,0.56,1.0,1.05,0.98,1.31,2.13,1.72,,3.77,
d_0,0.03,0.03,0.05,,0.05,0.09,0.55,0.95,1.0,1.16,1.17,1.57,2.36,2.34,2.39,3.49
c_0,0.03,0.03,,0.03,0.04,0.11,0.54,1.02,0.86,1.0,1.6,1.17,2.53,2.42,2.55,3.28
b_0,0.02,0.03,0.03,0.02,,0.09,0.43,0.76,0.86,0.63,1.0,1.71,1.85,2.35,2.62,3.51
f_0,,0.02,0.03,0.03,0.03,0.08,0.43,0.47,0.64,0.86,0.59,1.0,1.59,,2.47,1.94
h_0,0.01,0.02,0.02,0.01,0.02,0.05,,0.58,0.42,0.4,0.54,0.63,,1.16,1.17,1.66
a_0,0.01,0.01,0.02,0.02,0.02,,0.24,,0.43,0.41,0.43,,0.86,1.0,,1.12
e_0,0.01,,0.01,0.01,0.02,0.04,0.18,0.27,0.42,0.39,0.38,0.4,0.85,,1.0,0.94
g_0,0.01,0.01,0.01,0.02,0.01,0.04,0.14,,0.29,0.3,0.28,0.51,0.6,0.89,1.06,
