,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.38,0.29,0.26,0.25,0.28,0.28,0.53,0.47,0.61,1.09,0.61,0.62,0.51,0.65,,0.61
f_1,0.36,2.38,0.3,0.28,0.35,0.31,0.46,0.46,0.69,0.63,0.69,,0.61,0.68,0.49,0.7
d_1,0.25,0.31,2.42,0.22,0.29,0.28,0.61,0.52,0.93,,0.63,0.68,0.57,0.67,0.59,0.71
c_1,0.32,0.21,0.3,2.65,0.44,0.24,0.49,0.51,,0.64,0.69,0.7,0.42,0.79,0.65,0.75
b_1,0.31,0.22,0.32,0.23,2.78,0.49,0.57,0.54,0.55,0.55,,0.61,0.54,0.87,0.53,0.84
a_1,0.3,0.26,0.23,0.36,0.22,3.33,0.69,0.43,0.72,0.65,0.7,0.48,,0.9,,0.8
h_1,0.53,0.75,0.5,0.55,0.43,0.4,3.62,1.37,1.22,1.25,1.34,1.1,1.26,,1.13,1.3
g_1,0.49,0.59,0.68,0.64,0.47,0.59,0.78,3.93,1.16,1.12,0.86,1.88,0.9,1.54,1.27,
c_0,0.67,0.56,0.54,,0.58,0.53,1.28,1.38,3.5,1.2,2.23,1.52,1.06,1.64,1.43,1.95
d_0,0.5,0.48,,0.97,0.67,0.59,1.11,1.39,1.38,3.56,1.45,1.54,1.46,1.96,1.36,1.58
b_0,0.59,0.52,0.63,0.55,,0.52,1.24,1.48,0.99,1.2,3.66,1.4,2.68,2.04,1.56,2.07
f_0,0.53,,0.6,0.6,0.58,0.69,1.43,0.79,1.14,1.33,1.51,3.93,1.23,2.29,,1.71
a_0,0.69,0.66,0.78,0.7,0.46,,1.4,1.24,1.41,1.11,0.89,1.47,4.36,1.68,,1.54
h_0,0.78,1.02,0.81,0.81,0.79,0.52,,1.69,1.52,1.81,1.34,1.11,2.06,,1.21,2.96
e_0,,0.74,0.59,0.54,0.62,,1.52,1.2,1.19,1.44,1.32,,,2.33,4.82,1.66
g_0,0.76,0.78,0.87,0.68,0.7,0.63,1.64,,2.18,1.14,1.64,2.3,1.95,1.52,1.66,
