,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.06,2.35,1.92,2.05,1.74,1.5,0.64,0.61,0.92,0.52,0.75,0.57,0.49,0.39,0.52,0.51
e_1,1.39,1.06,1.73,2.55,2.36,1.81,0.84,0.79,0.78,0.66,0.69,0.62,0.53,0.51,0.74,0.46
d_1,2.23,2.75,1.06,2.09,1.9,1.9,0.81,0.94,0.5,0.77,0.6,0.58,0.48,0.43,0.56,0.32
c_1,2.31,1.84,2.84,1.06,2.62,1.92,0.85,0.4,0.86,0.92,0.58,0.61,0.59,0.45,0.55,0.47
b_1,2.89,2.23,2.94,1.5,1.06,2.44,0.98,0.77,0.89,0.84,0.8,0.86,0.64,0.6,0.6,0.66
a_1,4.17,3.27,3.11,3.39,1.98,1.07,1.54,1.29,1.22,1.04,0.98,1.59,2.3,0.8,0.77,0.75
h_1,6.09,5.19,4.72,5.47,5.17,4.0,1.31,1.54,2.03,1.37,1.44,1.36,1.24,1.53,1.25,1.13
d_0,7.2,4.08,7.95,8.21,6.97,5.02,2.74,1.5,2.53,1.98,1.85,2.05,1.7,1.51,1.7,1.68
g_1,6.45,6.54,7.88,6.13,6.56,5.32,1.93,2.17,1.33,1.75,1.86,2.08,1.5,1.26,1.86,1.74
c_0,7.73,6.81,4.2,9.79,7.25,5.31,2.71,2.52,2.82,1.51,1.85,2.42,1.96,1.62,1.8,1.56
f_0,10.84,6.76,7.41,7.38,6.46,5.92,3.22,2.51,2.23,1.94,1.49,2.35,1.8,1.7,2.51,1.0
b_0,7.96,7.13,6.62,10.09,11.22,4.92,2.95,2.2,2.57,1.29,1.89,1.47,2.55,1.8,1.93,1.62
a_0,12.27,9.16,10.13,10.32,11.59,8.42,3.75,3.16,3.32,2.17,2.35,1.52,1.62,2.32,2.37,1.86
h_0,9.83,9.34,10.0,10.02,8.65,7.75,4.0,2.92,3.78,2.61,2.63,2.67,2.35,3.02,2.39,2.25
e_0,13.25,12.68,8.88,9.22,9.13,9.29,4.04,2.59,3.41,2.71,1.67,2.79,2.43,2.1,1.59,1.76
g_0,11.18,11.09,11.56,10.98,9.33,10.16,3.38,2.9,4.42,2.93,3.84,3.27,2.71,2.01,2.72,2.84
