,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,36.04,38.71,30.25,33.38,47.77,5.57,6.23,9.29,5.18,5.36,,3.76,6.67,6.99,6.43
e_1,18.74,0.44,39.43,34.03,32.06,41.94,10.63,5.51,10.77,5.91,5.43,7.03,5.71,5.82,,8.9
d_1,43.19,50.25,0.43,26.29,44.58,34.72,9.06,6.39,5.44,,6.81,7.83,4.98,7.31,8.89,2.63
c_1,30.68,40.23,41.41,0.42,35.43,29.93,9.49,,9.43,3.59,8.06,5.57,6.09,6.86,7.3,5.08
b_1,32.84,36.75,48.56,20.57,0.41,,7.75,6.43,13.46,8.19,,6.09,5.09,9.99,6.37,5.6
a_1,34.52,50.53,52.37,57.2,,0.33,9.93,12.35,14.23,8.2,11.29,8.75,6.64,,,
h_1,18.2,14.28,18.57,19.19,18.08,11.83,0.37,3.89,4.81,4.0,6.42,3.94,,4.09,3.05,1.66
c_0,20.44,16.62,7.64,,16.46,11.92,5.22,0.49,3.32,3.0,3.47,3.73,2.02,2.68,3.39,2.03
g_1,19.14,23.15,27.0,23.83,15.43,14.68,6.83,5.39,0.33,4.29,4.77,3.76,2.07,4.98,,
d_0,21.19,9.97,,18.06,19.85,14.16,4.11,3.64,5.68,0.5,3.12,3.0,1.37,2.84,3.0,2.12
b_0,17.14,13.38,15.12,15.14,,19.91,3.94,2.18,6.53,3.8,0.45,4.39,1.98,3.74,3.21,4.4
f_0,,16.18,12.15,13.44,16.27,27.1,5.04,3.48,3.15,5.35,3.63,0.45,2.87,3.74,4.95,1.23
h_0,10.83,10.11,11.12,13.16,9.92,9.61,,2.93,4.05,2.33,2.43,2.9,,3.47,2.97,2.7
a_0,25.77,28.29,23.46,34.16,27.58,,8.89,3.16,3.6,4.54,2.08,4.41,2.67,0.37,3.85,2.63
e_0,26.05,,20.15,35.57,19.4,,6.79,3.52,,6.13,5.2,1.77,2.84,3.46,0.34,3.04
g_0,14.51,16.34,17.23,12.82,16.48,,2.71,3.96,,2.58,2.29,2.88,1.43,3.4,2.17,
