,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.18,8.04,11.97,12.03,13.57,14.21,2.84,5.28,2.33,2.63,2.26,2.66,3.09,1.8,,2.15
f_1,19.4,0.17,14.14,14.82,13.43,10.93,2.52,3.55,2.28,2.53,,2.96,2.31,1.05,2.11,1.58
c_1,17.16,11.51,0.16,16.7,11.94,10.42,4.14,3.61,1.41,,2.86,2.2,3.17,1.59,2.54,1.45
d_1,14.51,12.16,14.0,0.15,12.92,17.12,3.97,1.91,,2.15,3.43,2.04,2.48,1.52,2.72,1.12
b_1,10.79,10.87,9.28,13.81,0.15,12.14,3.69,4.28,2.11,2.85,3.0,,,2.17,1.85,2.22
a_1,16.71,10.93,11.91,14.98,7.69,0.09,3.49,,2.95,3.41,2.08,2.77,,1.86,,
h_1,3.25,3.75,3.34,3.29,2.84,2.65,0.07,0.99,0.77,0.79,0.5,0.55,0.8,,0.64,0.38
g_1,3.26,3.68,3.36,2.53,4.09,,0.65,0.06,1.04,0.67,0.7,0.5,0.94,0.39,0.61,
d_0,1.15,3.0,2.67,,2.33,2.79,0.61,0.94,0.08,0.58,0.45,0.93,0.76,0.32,0.6,0.38
c_0,2.91,3.12,,1.87,2.28,2.16,0.56,0.53,0.49,0.07,0.51,0.58,0.35,0.32,0.44,0.59
f_0,2.39,,2.17,1.81,2.28,3.59,0.9,0.47,0.66,0.43,0.07,0.51,0.45,0.57,0.54,0.22
b_0,3.07,2.14,2.51,2.11,,2.99,0.75,0.66,0.75,0.25,0.53,0.06,0.8,0.4,0.62,0.28
a_0,2.95,3.66,2.19,2.02,,,0.89,0.77,0.71,0.52,0.39,0.37,0.05,0.23,,0.39
h_0,1.5,1.4,1.42,1.85,1.92,1.66,,0.47,0.3,0.29,0.33,0.47,0.25,,0.36,0.26
e_0,,3.51,3.44,2.2,2.78,,0.61,0.55,0.54,0.53,0.33,0.44,,0.52,0.04,0.42
g_0,2.06,1.9,1.74,1.89,1.38,,0.4,,0.27,0.34,0.36,0.29,0.29,0.2,0.42,
