,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,0.87,0.91,0.85,0.8,0.67,0.19,0.26,0.2,0.19,0.18,0.22,0.11,0.17,0.13,0.18
e_1,0.57,0.42,1.01,0.92,1.08,0.91,0.27,0.28,0.22,0.2,0.2,0.29,0.14,0.19,0.15,0.29
c_1,0.91,0.75,0.41,1.23,0.83,0.92,0.3,0.28,0.12,0.23,0.21,0.2,0.13,0.17,0.14,0.19
d_1,1.02,1.04,1.1,0.4,1.01,0.89,0.23,0.17,0.28,0.17,0.17,0.17,0.13,0.17,0.09,0.17
b_1,1.32,1.0,0.61,1.22,0.37,0.99,0.33,0.32,0.22,0.31,0.37,0.23,0.16,0.26,0.17,0.18
a_1,1.44,1.31,1.19,1.25,0.74,0.31,0.4,0.41,0.36,0.28,0.3,0.36,0.23,0.43,0.2,0.3
h_1,1.83,1.75,1.79,1.73,1.62,1.57,0.28,0.49,0.39,0.38,0.35,0.37,0.32,0.32,0.25,0.34
g_1,2.02,2.02,1.85,1.7,1.95,1.93,0.47,0.27,0.38,0.36,0.38,0.36,0.22,0.37,0.28,0.35
d_0,1.74,1.26,2.19,2.46,2.04,1.95,0.61,0.6,0.3,0.38,0.45,0.44,0.32,0.48,0.34,0.46
c_0,2.21,2.2,3.23,1.26,2.16,1.85,0.59,0.56,0.64,0.29,0.4,0.42,0.31,0.48,0.29,0.43
b_0,2.21,2.13,3.13,1.73,2.92,2.18,0.57,0.47,0.5,0.24,0.27,0.39,0.29,0.4,0.25,0.35
f_0,2.86,2.48,2.17,1.98,2.11,2.32,0.67,0.41,0.45,0.38,0.43,0.26,0.3,0.4,0.2,0.4
h_0,2.42,2.25,2.38,2.0,2.24,1.93,0.71,0.59,0.52,0.41,0.46,0.41,0.43,0.46,0.32,0.39
a_0,2.39,2.38,2.81,2.46,3.28,2.86,0.72,0.56,0.51,0.37,0.28,0.46,0.32,0.26,0.32,0.48
g_0,2.9,2.84,2.93,2.49,2.54,2.22,0.62,0.76,0.63,0.47,0.51,0.51,0.34,0.51,0.46,0.55
e_0,3.67,3.2,2.91,2.42,3.15,3.22,0.86,0.59,0.56,0.41,0.52,0.28,0.37,0.41,0.3,0.24
