,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,0.92,1.1,0.88,0.69,0.49,0.48,0.55,0.39,0.41,0.39,0.36,0.36,0.3,0.32
f_1,1.23,1.0,0.89,0.95,0.83,0.66,0.42,0.46,0.45,0.41,0.42,0.33,0.32,0.29,0.28,0.28
d_1,1.06,1.11,1.0,0.91,0.89,0.71,0.49,0.4,0.44,0.56,0.49,0.38,0.38,0.37,0.33,0.27
c_1,0.93,1.06,1.11,1.0,1.25,0.78,0.53,0.48,0.35,0.37,0.36,0.39,0.37,0.35,0.34,0.31
b_1,1.13,1.2,1.14,0.82,1.0,1.15,0.58,0.52,0.45,0.48,0.44,0.46,0.35,0.42,0.36,0.37
a_1,1.49,1.51,1.37,1.28,0.87,1.0,0.8,0.69,0.6,0.64,0.62,0.48,0.54,0.54,0.49,0.47
h_1,2.02,2.38,2.08,1.96,1.77,1.28,1.0,1.03,0.86,0.84,0.83,0.76,0.7,0.73,0.64,0.7
g_1,2.1,2.17,2.47,2.07,1.85,1.44,0.95,1.0,0.99,0.96,0.92,0.95,0.79,0.81,0.7,0.62
d_0,1.84,2.17,2.32,2.85,2.31,1.69,1.16,1.07,1.0,0.82,0.91,0.85,0.84,0.86,0.79,0.76
c_0,2.45,2.48,1.79,2.6,2.17,1.58,1.19,1.04,1.23,1.0,1.33,0.88,1.03,0.9,0.76,0.7
b_0,2.46,2.49,2.04,2.7,2.26,1.52,1.22,1.11,1.13,0.76,1.0,0.9,1.14,0.91,0.8,0.75
f_0,2.52,3.05,2.63,2.63,2.24,1.99,1.24,1.04,1.3,1.17,1.05,1.0,1.04,1.09,1.17,0.73
a_0,2.87,3.14,2.65,2.63,2.63,1.89,1.35,1.22,1.16,1.03,0.93,0.96,1.0,1.09,1.0,0.86
h_0,2.84,3.36,2.74,2.8,2.34,1.84,1.37,1.23,1.17,1.11,1.17,0.92,0.91,1.0,0.97,0.9
e_0,3.28,3.69,2.95,2.84,2.72,2.08,1.51,1.35,1.32,1.19,1.22,0.79,1.04,1.0,1.0,0.88
g_0,3.35,3.49,3.67,3.21,2.68,2.09,1.45,1.54,1.31,1.36,1.36,1.38,1.1,1.08,1.13,1.0
