,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.97,2.45,2.81,1.94,2.14,2.19,7.75,17.65,8.71,7.21,9.63,11.01,12.08,16.32,7.55,16.39
f_1,3.89,6.13,2.03,1.94,2.02,2.13,6.96,10.45,9.62,6.37,10.21,6.91,10.87,13.94,8.92,15.28
c_1,1.87,2.17,6.58,2.18,3.93,2.23,7.13,8.39,6.41,7.97,7.82,10.99,8.39,15.57,11.06,15.08
d_1,2.15,2.35,1.59,6.71,2.11,2.27,9.25,5.72,19.05,9.36,14.38,10.19,13.06,17.19,13.38,13.89
b_1,2.0,2.17,2.62,2.25,7.01,3.9,8.18,9.36,9.18,7.24,6.59,8.97,8.52,15.52,11.09,16.68
a_1,2.33,2.19,2.4,2.48,2.13,11.09,9.17,10.05,9.18,8.31,10.25,11.04,10.19,15.68,13.28,19.73
h_1,2.14,3.52,2.26,2.57,2.41,2.28,18.4,9.31,10.32,11.46,12.29,11.01,13.87,11.32,13.97,21.17
d_0,2.24,2.54,4.54,1.67,2.67,1.95,8.09,18.22,8.07,9.27,8.33,10.84,11.71,17.32,11.73,14.96
c_0,2.32,2.79,2.04,2.87,1.93,2.38,10.23,10.66,19.7,10.69,23.87,15.4,17.07,17.89,12.23,18.15
g_1,2.16,2.02,2.41,3.87,2.51,2.32,7.88,7.59,11.8,23.67,11.62,18.09,12.66,16.49,17.03,11.45
b_0,2.09,2.42,2.49,2.8,1.93,2.84,9.48,11.09,13.24,10.0,23.14,13.75,25.21,18.24,14.43,18.9
f_0,1.84,2.15,2.46,2.65,2.77,2.71,9.79,12.06,11.84,10.05,14.01,23.71,14.12,22.38,27.57,17.29
a_0,2.3,2.73,2.62,2.54,2.36,1.8,10.14,11.63,13.06,9.64,12.99,11.55,26.17,18.6,13.38,17.82
h_0,2.33,3.25,2.48,2.62,2.29,2.5,5.88,10.48,12.08,12.12,12.57,11.91,11.7,15.3,13.65,25.16
e_0,1.71,2.81,2.17,3.02,2.54,2.02,10.86,10.93,13.88,10.81,12.85,11.44,14.07,19.14,28.11,22.12
g_0,2.14,2.26,2.23,3.95,2.3,2.28,9.38,9.25,13.36,6.44,9.92,18.15,11.34,15.98,13.61,16.09
