,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.43,1.22,1.35,1.91,1.56,1.31,3.19,4.8,2.76,3.11,3.55,3.49,4.09,3.76,3.4,4.23
d_1,1.51,2.51,1.6,1.3,1.45,1.3,2.78,2.75,2.61,4.71,3.86,3.57,4.08,3.31,3.43,4.15
f_1,2.08,1.38,2.52,1.45,1.45,1.37,2.4,3.1,2.76,2.74,3.2,2.32,3.92,3.51,2.56,3.64
c_1,1.28,1.46,1.52,2.6,2.44,1.51,2.92,2.75,2.73,2.08,2.38,3.13,3.6,3.17,3.26,4.01
b_1,1.37,1.56,1.53,1.24,2.78,2.86,2.75,2.82,2.86,3.25,2.27,3.03,4.06,2.39,3.2,3.81
a_1,1.6,1.69,1.74,1.56,1.04,3.33,3.05,3.13,3.2,3.27,3.44,3.26,4.27,2.95,3.44,4.19
h_1,1.43,1.65,2.11,1.5,1.49,1.32,4.13,2.82,3.56,3.07,3.44,2.98,3.49,3.71,3.19,4.67
d_0,1.36,1.26,1.54,2.53,1.64,1.58,3.4,4.14,3.02,2.41,3.58,2.9,4.31,3.78,3.11,4.08
g_1,1.41,2.04,1.41,1.56,1.53,1.44,2.71,2.88,4.61,3.32,3.25,4.98,3.44,3.36,3.8,3.89
c_0,1.48,1.53,1.88,1.46,1.26,1.54,3.12,3.97,3.1,4.39,5.8,3.59,5.02,4.18,3.72,4.05
b_0,1.58,1.48,1.69,1.92,1.26,1.18,3.23,3.45,3.26,2.78,4.6,3.64,4.54,6.13,3.68,4.06
f_0,1.38,1.72,1.42,1.66,1.57,1.62,3.15,3.8,2.87,3.49,3.51,4.8,3.92,4.18,6.51,4.22
h_0,1.49,1.72,1.75,1.77,1.38,1.49,2.53,3.12,3.73,3.13,3.22,3.4,3.73,3.29,3.18,5.36
a_0,1.6,1.73,1.55,1.8,1.82,1.06,2.93,3.4,3.54,2.9,2.84,3.28,4.79,5.01,3.6,3.88
e_0,1.31,1.82,1.82,1.58,1.57,1.4,3.48,4.04,3.04,3.33,3.92,2.9,5.18,3.99,5.39,4.78
g_0,1.35,2.14,1.51,1.54,1.45,1.31,2.89,3.16,2.48,3.89,3.64,4.26,3.84,3.77,3.45,3.69
