,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.41,1.13,0.98,1.56,1.28,1.09,2.44,2.57,4.11,2.33,2.72,3.3,3.71,2.37,3.16,3.68
d_1,1.25,2.47,1.37,0.98,1.19,1.23,2.42,2.29,1.75,4.02,3.21,2.76,3.43,2.84,3.13,2.91
f_1,1.96,1.16,2.5,1.24,0.98,1.02,2.12,2.04,2.68,2.48,2.61,1.29,2.44,1.91,2.59,3.29
c_1,1.06,1.3,1.2,2.63,2.11,1.16,2.26,2.3,2.22,1.35,2.08,2.55,3.49,2.24,2.39,2.78
b_1,1.05,1.23,1.42,0.96,2.79,2.25,2.46,2.45,2.63,2.83,1.94,2.59,3.58,2.9,1.74,3.37
a_1,1.21,1.32,1.44,1.38,0.91,3.23,2.59,2.41,2.38,2.81,3.07,2.61,3.34,2.95,2.05,3.47
h_1,1.27,1.42,1.66,1.33,1.4,1.24,4.15,3.28,2.59,2.85,2.68,2.78,3.01,3.35,3.08,4.71
g_1,1.19,1.85,1.26,1.33,1.4,1.31,2.25,4.18,2.76,2.88,3.04,4.19,3.16,3.27,2.84,2.98
d_0,1.17,1.14,1.24,2.25,1.44,1.47,2.79,2.62,3.97,2.4,2.2,2.97,3.67,3.23,2.57,4.24
c_0,1.43,1.36,1.54,1.24,1.11,1.29,2.71,2.8,2.85,4.1,4.86,3.09,4.1,3.52,4.03,3.67
b_0,1.31,1.36,1.52,1.47,0.85,1.2,2.86,2.49,3.27,2.72,4.41,3.11,4.18,3.13,5.48,3.91
f_0,1.13,1.6,1.23,1.51,1.41,1.37,2.64,2.41,3.2,2.78,2.82,4.42,4.13,5.56,2.83,4.07
h_0,1.11,1.42,1.96,1.31,1.28,1.34,1.94,3.53,2.91,2.79,3.13,2.88,2.69,3.2,2.63,4.36
e_0,0.86,1.53,1.59,1.49,1.46,1.4,2.59,3.03,3.3,2.82,3.1,2.49,4.18,5.03,3.27,4.09
a_0,1.21,1.39,1.48,1.69,1.53,0.65,2.89,2.55,3.43,2.44,2.85,3.29,4.35,3.1,5.24,4.01
g_0,1.12,1.93,1.22,1.48,1.3,1.23,2.61,2.26,2.78,2.73,2.85,3.91,3.83,3.43,2.86,2.93
