,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,1.27,1.38,1.14,1.24,1.01,0.47,0.43,0.55,0.41,0.42,0.54,0.31,0.38,0.43,0.39
e_1,0.89,0.67,1.32,1.15,1.33,1.21,0.62,0.67,0.75,0.48,0.47,0.6,0.41,0.83,0.49,0.43
c_1,1.19,1.23,0.65,1.62,1.55,1.23,0.62,0.3,0.61,0.51,0.44,0.42,0.35,0.34,0.36,0.36
d_1,1.55,1.65,1.27,0.63,1.26,1.08,0.66,0.8,0.42,0.55,0.53,0.47,0.44,0.53,0.53,0.29
b_1,1.62,1.48,0.87,1.59,0.62,1.84,0.62,0.58,0.57,0.72,0.65,0.55,0.44,0.44,0.46,0.37
a_1,1.96,1.73,1.64,1.95,0.84,0.58,0.83,0.78,0.74,0.62,0.74,0.56,0.5,0.54,0.78,0.53
h_1,2.25,1.92,2.02,1.72,2.27,1.63,0.57,0.66,0.91,0.7,0.66,0.69,0.76,0.64,0.64,0.55
d_0,2.18,1.25,2.9,3.0,2.12,1.79,1.08,0.61,1.05,0.78,0.71,0.67,0.66,0.86,0.75,0.68
g_1,2.34,1.82,2.22,2.47,2.5,2.15,0.8,0.75,0.54,0.79,0.76,0.78,0.5,0.78,0.65,0.71
c_0,2.61,2.37,3.72,1.29,2.02,2.27,0.97,1.12,0.94,0.59,1.13,0.89,0.63,0.73,0.86,0.66
b_0,2.76,2.04,3.19,1.91,3.86,1.92,1.14,0.96,1.01,0.48,0.58,0.81,0.63,0.85,0.89,0.67
f_0,3.34,2.07,2.71,2.42,2.28,2.22,1.03,1.03,0.78,0.78,0.81,0.57,0.7,0.9,0.75,0.46
h_0,2.99,2.4,2.95,2.39,2.39,2.17,1.63,0.95,1.34,0.94,0.96,0.9,0.92,0.84,0.82,0.88
e_0,3.32,3.19,3.08,2.35,2.72,2.4,1.06,0.87,1.1,1.04,0.93,0.6,0.71,0.56,0.82,0.67
a_0,2.67,2.34,3.23,2.5,3.44,2.82,1.34,0.96,1.3,0.88,0.61,1.2,0.92,1.1,0.56,0.87
g_0,3.32,2.84,2.94,2.79,2.71,2.28,1.09,1.03,1.47,1.03,0.97,1.03,0.58,0.85,0.8,0.94
