,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.89,0.43,0.24,0.17,0.14,0.11,0.19,0.19,0.12,0.17,0.15,0.06,0.15,0.08,0.11,0.1
e_1,0.3,0.89,0.23,0.15,0.17,0.11,0.2,0.4,0.17,0.18,0.2,0.17,0.19,0.06,0.15,0.14
c_1,0.22,0.23,0.89,0.19,0.34,0.12,0.18,0.18,0.15,0.06,0.11,0.13,0.15,0.1,0.09,0.14
d_1,0.26,0.25,0.16,0.9,0.15,0.1,0.23,0.1,0.15,0.38,0.19,0.15,0.2,0.13,0.12,0.16
b_1,0.22,0.21,0.2,0.2,0.88,0.28,0.16,0.21,0.12,0.16,0.06,0.17,0.19,0.13,0.08,0.15
a_1,0.28,0.22,0.21,0.22,0.15,0.88,0.2,0.21,0.14,0.15,0.18,0.16,0.2,0.14,0.07,0.15
h_1,0.4,0.27,0.25,0.23,0.22,0.14,0.59,0.22,0.24,0.23,0.19,0.19,0.12,0.18,0.12,0.22
d_0,0.33,0.24,0.5,0.12,0.22,0.13,0.26,0.46,0.21,0.15,0.18,0.16,0.22,0.17,0.15,0.19
g_1,0.29,0.21,0.25,0.37,0.21,0.15,0.25,0.23,0.57,0.24,0.21,0.29,0.19,0.17,0.13,0.13
c_0,0.36,0.29,0.21,0.26,0.14,0.14,0.25,0.25,0.2,0.45,0.42,0.22,0.22,0.14,0.18,0.18
b_0,0.37,0.29,0.26,0.26,0.15,0.12,0.29,0.26,0.2,0.21,0.44,0.2,0.2,0.15,0.3,0.19
f_0,0.21,0.22,0.31,0.26,0.24,0.19,0.26,0.3,0.21,0.21,0.22,0.45,0.23,0.33,0.11,0.21
h_0,0.38,0.28,0.29,0.24,0.24,0.15,0.15,0.23,0.26,0.24,0.2,0.18,0.15,0.17,0.12,0.27
e_0,0.34,0.13,0.37,0.23,0.25,0.19,0.29,0.23,0.19,0.23,0.18,0.22,0.24,0.4,0.12,0.21
a_0,0.32,0.3,0.31,0.21,0.23,0.08,0.26,0.27,0.23,0.22,0.21,0.21,0.25,0.17,0.4,0.23
g_0,0.25,0.22,0.29,0.37,0.24,0.14,0.26,0.22,0.15,0.21,0.19,0.33,0.2,0.18,0.11,0.13
