,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.67,3.01,3.33,3.27,2.72,0.64,0.59,1.17,0.65,0.57,0.88,0.32,0.53,0.65,0.54
e_1,1.72,1.1,3.41,4.14,3.45,3.25,0.87,0.71,0.94,0.64,0.68,0.85,0.46,0.66,1.04,0.5
d_1,3.96,3.59,1.1,3.34,2.8,2.79,0.89,0.62,0.52,0.95,0.66,0.59,0.41,0.59,0.64,0.29
c_1,3.92,2.81,4.81,1.11,3.98,3.08,1.01,1.01,1.06,0.42,0.69,0.69,0.48,0.64,0.64,0.48
b_1,4.06,4.03,3.9,1.9,1.12,4.3,1.26,1.02,1.05,0.83,1.31,0.74,0.63,0.72,0.71,0.62
a_1,5.7,5.34,4.68,6.15,2.54,1.13,1.42,1.21,1.68,1.41,1.69,1.15,1.02,2.28,1.19,0.8
h_1,10.82,10.61,11.43,12.85,10.31,7.99,1.64,2.35,3.41,2.33,2.29,2.25,2.15,2.14,2.22,1.61
c_0,15.79,15.98,7.84,27.34,15.94,13.11,4.27,1.89,3.46,4.03,2.87,2.64,2.11,3.05,2.51,1.93
g_1,15.44,15.35,13.27,14.81,14.39,14.07,3.15,2.61,1.68,3.28,2.76,2.75,1.64,2.84,2.29,2.2
d_0,12.66,8.8,20.58,18.22,16.29,12.56,5.16,3.34,5.46,2.09,3.15,3.24,2.41,3.27,3.12,2.44
b_0,18.65,16.28,12.04,22.11,26.57,14.76,4.49,1.9,4.91,3.49,1.98,3.07,2.59,2.96,3.02,2.04
f_0,29.71,17.97,15.94,18.22,18.55,16.75,5.38,3.65,3.2,4.66,3.7,2.08,2.74,3.59,3.23,1.7
h_0,20.03,20.77,18.87,21.18,21.06,18.35,7.45,3.9,6.0,4.01,4.12,4.0,4.17,3.69,3.82,2.98
a_0,27.61,21.54,19.86,24.06,28.09,34.59,5.85,4.14,7.23,5.13,2.63,3.74,3.99,2.29,3.82,3.13
e_0,33.71,35.75,21.09,24.06,28.91,27.76,7.58,4.78,7.47,5.48,5.02,2.46,3.25,3.79,2.17,2.69
g_0,27.83,25.31,24.61,24.85,26.81,23.98,5.85,5.61,9.33,6.03,5.89,5.51,3.12,5.49,4.88,5.19
