,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.38,1.18,0.75,0.75,0.66,0.74,1.37,1.4,1.57,1.62,0.86,1.91,1.75,1.57,1.35,1.99
e_1,0.68,2.4,0.73,0.78,0.84,0.63,1.32,1.6,2.85,1.82,1.88,1.86,2.24,1.74,1.08,2.09
d_1,0.83,0.75,2.43,0.74,0.68,0.69,1.52,1.45,0.99,2.72,1.92,1.61,2.26,1.65,1.99,1.86
c_1,0.76,0.76,0.76,2.61,1.3,0.66,1.38,1.56,1.33,0.42,1.97,1.31,1.89,1.73,1.68,2.02
b_1,0.82,0.79,0.81,0.64,2.79,1.29,1.69,1.45,2.04,1.35,1.43,0.78,2.27,1.13,1.66,1.71
a_1,0.92,0.73,0.86,0.77,0.66,3.35,1.71,1.28,1.18,1.82,1.69,1.79,2.6,0.89,1.87,2.15
h_1,1.32,0.92,1.04,1.07,0.87,1.08,3.89,2.31,2.31,1.77,1.99,2.09,1.62,2.24,2.27,3.21
g_1,1.07,0.9,1.23,0.93,0.92,1.17,1.79,4.13,1.83,2.08,2.73,2.12,2.3,2.75,2.44,1.43
d_0,0.98,0.88,0.46,1.84,0.96,1.26,2.04,2.12,3.67,1.98,2.44,2.14,2.32,2.58,1.78,3.2
c_0,1.17,0.98,1.03,0.85,1.06,0.71,2.33,1.95,1.97,3.83,2.15,4.31,2.76,3.28,2.58,3.29
f_0,0.64,0.91,1.26,1.18,1.1,0.9,2.41,1.83,2.17,2.73,4.08,2.01,3.35,1.87,3.95,3.65
b_0,1.01,0.85,1.19,1.33,0.54,0.87,1.95,1.91,2.3,1.81,2.57,4.17,3.08,4.49,2.43,3.4
h_0,1.44,0.93,1.0,1.08,0.84,0.95,1.27,2.62,2.4,2.1,1.79,2.39,1.8,2.09,1.99,3.88
a_0,1.09,0.92,1.22,1.12,1.36,,1.72,1.5,1.97,1.82,2.47,1.71,2.83,4.7,2.82,3.78
e_0,1.21,0.59,0.93,1.12,1.07,1.21,2.3,1.87,2.96,2.36,2.1,2.52,3.52,2.16,4.68,2.23
g_0,0.82,0.98,1.46,1.04,1.03,0.97,1.93,1.59,1.62,2.21,2.52,2.47,2.02,1.96,2.71,
