,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,5.62,12.03,9.8,11.37,9.72,3.65,2.15,4.15,2.47,2.54,2.71,1.39,2.13,9.31,1.85
f_1,10.39,1.14,10.96,11.19,10.69,13.38,2.12,2.56,3.51,1.94,2.16,11.33,1.08,2.11,2.03,1.51
d_1,11.69,11.04,1.14,12.33,11.21,12.12,3.45,2.71,2.37,9.61,2.14,2.33,1.66,2.16,2.7,1.1
c_1,13.56,15.55,13.14,1.15,13.36,13.12,3.92,14.0,4.46,1.48,3.33,2.63,1.89,2.99,2.98,1.99
b_1,16.34,19.37,18.02,8.56,1.15,19.07,5.36,3.59,3.25,3.64,7.77,3.07,2.1,3.17,3.76,2.65
a_1,21.48,18.77,17.12,24.87,10.42,1.15,6.58,4.52,4.75,4.67,5.83,3.65,4.53,,3.87,4.29
h_1,25.66,30.69,26.27,30.63,25.12,23.41,1.9,4.43,8.15,6.71,5.66,5.5,9.15,5.67,4.25,5.27
c_0,32.68,38.95,15.72,121.25,36.94,35.52,9.39,2.56,10.31,6.64,5.77,6.1,6.1,6.95,6.11,4.67
g_1,40.67,51.74,29.42,31.98,44.86,29.01,6.1,6.03,1.9,6.71,5.77,5.84,3.85,8.45,5.67,11.18
d_0,16.48,40.7,93.03,38.29,38.65,47.91,10.07,8.14,11.58,2.79,7.87,5.44,5.85,6.34,7.52,4.79
b_0,35.4,34.17,37.41,43.43,209.33,28.22,10.07,3.68,9.71,7.0,2.62,6.77,4.82,7.84,6.52,4.5
f_0,42.01,190.63,40.02,37.79,35.38,29.86,9.84,7.29,7.86,7.67,6.66,2.59,5.85,10.77,7.24,4.39
h_0,42.96,53.26,49.17,51.96,48.31,49.05,29.86,8.97,17.84,9.61,12.37,9.74,27.44,9.17,7.82,7.1
a_0,50.97,55.72,57.37,66.14,61.27,,16.72,7.53,16.5,11.71,4.49,9.41,9.54,2.66,8.32,6.96
e_0,136.54,78.74,50.62,61.91,62.8,42.92,12.48,9.59,16.92,11.93,9.04,5.34,8.96,9.17,2.62,6.59
g_0,53.1,67.07,71.71,53.89,62.8,57.22,13.93,10.29,60.0,9.76,11.22,11.56,7.44,12.31,10.86,16.77
