,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.95,0.85,0.51,0.48,0.43,0.32,0.33,0.37,0.3,0.29,0.28,0.21,0.26,0.17,0.21,0.26
e_1,0.55,0.95,0.69,0.46,0.44,0.34,0.34,0.57,0.32,0.3,0.34,0.32,0.34,0.2,0.24,0.24
c_1,0.62,0.47,0.95,0.54,0.83,0.43,0.37,0.31,0.23,0.27,0.21,0.28,0.32,0.25,0.18,0.22
d_1,0.73,0.62,0.47,0.95,0.47,0.33,0.37,0.33,0.52,0.28,0.35,0.29,0.36,0.22,0.24,0.24
b_1,0.62,0.62,0.46,0.56,0.95,0.71,0.39,0.35,0.36,0.31,0.24,0.31,0.32,0.24,0.18,0.27
a_1,0.75,0.61,0.6,0.68,0.45,0.94,0.49,0.45,0.42,0.41,0.44,0.39,0.36,0.29,0.24,0.31
h_1,1.1,0.9,0.79,0.89,0.69,0.46,0.78,0.51,0.45,0.59,0.46,0.46,0.39,0.36,0.37,0.47
d_0,0.86,0.79,1.31,0.63,0.87,0.51,0.59,0.71,0.45,0.47,0.45,0.49,0.5,0.39,0.36,0.43
c_0,1.05,0.96,0.88,0.83,0.66,0.58,0.67,0.63,0.71,0.54,0.86,0.48,0.53,0.38,0.41,0.47
g_1,0.93,0.91,0.91,1.12,0.68,0.56,0.52,0.55,0.54,0.77,0.46,0.6,0.46,0.43,0.39,0.3
b_0,1.18,0.98,1.12,0.82,0.63,0.43,0.66,0.66,0.48,0.55,0.71,0.46,0.61,0.42,0.71,0.46
f_0,0.98,0.81,1.02,1.01,0.85,0.6,0.61,0.65,0.58,0.48,0.57,0.71,0.5,0.7,0.44,0.42
h_0,1.36,0.94,0.99,0.92,0.78,0.64,0.58,0.66,0.59,0.68,0.58,0.5,0.49,0.38,0.4,0.6
e_0,1.16,0.93,1.05,1.14,1.01,0.69,0.68,0.62,0.64,0.54,0.52,0.52,0.56,0.64,0.46,0.54
a_0,1.3,1.03,1.13,1.01,1.06,0.42,0.68,0.79,0.65,0.51,0.54,0.53,0.68,0.52,0.67,0.49
g_0,1.08,1.03,1.03,1.46,0.86,0.66,0.64,0.61,0.66,0.58,0.63,0.76,0.5,0.49,0.47,0.42
