,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.78,1.04,1.44,1.5,2.9,18.73,27.22,42.21,33.58,41.8,43.17,68.28,89.52,108.47,102.9
f_1,1.28,1.0,0.95,0.96,1.27,2.34,16.27,25.79,27.48,29.58,31.75,39.18,56.72,67.72,82.08,81.73
d_1,0.96,1.07,1.0,0.91,1.13,2.56,17.48,18.18,33.1,36.07,30.92,41.48,59.83,75.99,79.1,87.9
c_1,0.7,1.04,1.1,1.0,1.63,2.86,17.15,20.54,19.72,20.63,29.67,30.54,60.07,69.09,80.18,77.07
b_1,0.67,0.78,0.88,0.62,1.0,2.99,13.89,18.87,22.7,25.94,22.3,26.3,58.59,62.72,70.44,69.94
a_1,0.34,0.42,0.39,0.35,0.33,1.0,6.89,9.88,10.35,12.34,13.05,14.25,23.43,24.41,32.36,32.71
h_1,0.05,0.06,0.06,0.06,0.07,0.14,1.0,1.47,1.54,1.71,1.79,2.21,3.69,3.46,5.5,4.57
g_1,0.04,0.04,0.05,0.05,0.05,0.11,0.67,1.0,1.07,1.25,1.87,1.76,2.4,3.51,3.62,3.37
d_0,0.02,0.04,0.03,0.05,0.04,0.09,0.64,0.91,1.0,0.9,1.27,1.18,2.21,2.73,3.16,3.14
c_0,0.03,0.03,0.03,0.04,0.04,0.08,0.6,0.84,1.07,1.0,1.2,1.79,2.25,2.66,2.85,3.28
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.53,0.54,0.81,0.87,1.0,1.08,1.84,3.49,2.12,2.76
b_0,0.02,0.03,0.02,0.03,0.04,0.07,0.45,0.59,0.84,0.54,0.94,1.0,1.81,2.11,2.54,3.15
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.41,0.42,0.42,0.56,0.54,1.0,1.11,1.64,1.28
e_0,0.01,0.02,0.01,0.01,0.01,0.04,0.27,0.28,0.41,0.39,0.28,0.45,0.93,1.0,1.09,0.95
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.29,0.3,0.33,0.46,0.41,0.59,0.94,1.0,0.96
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.3,0.29,0.31,0.36,0.32,0.78,0.97,1.04,1.0
