,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.57,0.69,0.81,0.5,0.61,0.54,0.79,1.66,0.89,0.8,1.05,1.1,1.08,1.02,0.58,1.01
f_1,1.17,2.66,0.64,0.51,0.56,0.6,0.79,0.95,0.91,0.74,0.91,0.39,0.91,0.94,0.59,0.81
c_1,0.61,0.62,2.74,0.67,1.18,0.48,0.89,0.8,0.36,0.98,0.74,0.89,0.85,0.84,1.07,0.84
d_1,0.54,0.85,0.51,2.93,0.61,0.56,1.04,0.42,1.69,1.03,0.96,0.98,0.89,0.95,0.84,0.89
b_1,0.63,0.58,0.68,0.68,3.05,1.27,1.02,0.97,0.84,0.72,0.41,0.88,0.73,0.82,0.82,1.04
a_1,0.6,0.72,0.66,0.77,0.59,4.52,1.0,0.69,0.93,0.83,0.94,1.11,0.48,1.2,1.25,1.04
h_1,0.72,0.97,0.65,1.04,0.73,0.83,2.63,0.92,1.1,1.53,1.17,1.04,1.05,0.79,1.32,1.7
d_0,0.77,0.78,1.58,0.44,0.75,0.71,0.92,1.96,0.84,0.97,1.2,1.07,1.2,1.3,1.29,0.98
c_0,0.75,0.83,0.54,0.94,0.68,0.84,1.12,1.11,2.04,1.25,2.31,1.35,1.39,1.24,1.4,1.35
g_1,0.67,0.68,0.77,1.4,0.71,0.64,1.11,0.85,1.21,3.29,1.23,1.8,1.11,1.24,1.24,0.74
b_0,0.78,0.81,0.76,1.02,0.44,0.86,1.16,1.03,1.1,1.39,2.36,1.1,2.65,1.14,1.32,1.29
f_0,0.62,0.47,0.86,0.95,0.8,0.69,1.22,1.27,1.33,1.09,1.64,2.73,1.33,1.2,2.87,1.23
a_0,0.89,0.87,0.97,0.76,0.75,0.28,1.22,1.31,1.24,1.39,1.27,1.25,3.02,1.28,1.19,1.35
h_0,0.73,1.07,0.9,0.9,0.63,0.85,0.63,1.06,0.96,1.47,1.36,1.21,1.07,0.88,1.29,1.52
e_0,0.37,0.76,1.11,0.95,0.97,0.86,1.02,1.21,0.9,1.18,1.21,1.25,1.28,1.63,3.55,1.26
g_0,0.69,0.63,0.77,1.42,0.7,0.78,1.12,0.98,1.23,0.77,1.3,1.57,1.08,1.34,1.2,0.82
