,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.87,1.36,1.01,1.06,0.7,0.91,1.0,0.99,0.86,1.03,0.78,0.73,0.92,0.67,1.01
d_1,1.14,1.0,0.95,0.9,0.9,0.95,1.13,0.92,0.88,1.49,1.01,1.02,1.06,1.11,1.07,0.83
e_1,0.73,1.06,1.0,1.18,0.98,1.07,1.0,1.45,1.12,0.89,1.06,1.21,1.14,0.98,1.19,1.08
c_1,0.98,1.13,0.85,1.0,1.4,1.05,0.83,0.71,1.0,0.85,0.86,0.94,1.04,0.97,0.84,1.0
b_1,0.94,1.12,1.02,0.71,1.0,1.33,1.16,1.01,0.96,1.06,0.94,0.91,1.14,0.89,1.17,1.11
a_1,1.44,1.05,0.94,0.96,0.75,1.0,1.06,1.01,1.21,1.0,1.0,1.03,1.12,1.05,1.2,0.95
h_1,1.1,0.91,0.99,1.2,0.87,0.93,1.0,0.9,1.14,0.93,0.96,0.97,0.96,0.84,0.96,1.24
d_0,0.98,1.08,0.67,1.38,1.06,1.02,1.14,1.0,0.92,0.81,1.1,1.03,0.94,0.94,1.09,0.99
g_1,0.99,1.14,0.9,1.0,0.99,0.84,0.9,1.05,1.0,0.95,1.01,1.3,0.9,1.13,0.97,1.22
c_0,1.15,0.68,1.09,1.19,0.9,0.98,1.08,1.24,1.06,1.0,1.55,1.04,1.13,0.97,1.05,1.06
b_0,1.01,1.0,0.92,1.17,1.04,0.97,1.03,0.89,1.0,0.65,1.0,0.96,1.11,1.44,1.13,1.0
f_0,1.25,0.95,0.85,1.12,1.06,1.05,0.96,0.97,0.82,1.0,1.0,1.0,1.0,0.98,1.55,0.81
h_0,1.28,0.96,0.88,1.02,0.89,0.84,1.04,1.07,1.19,0.89,0.89,1.01,1.0,0.83,0.87,1.25
a_0,1.04,0.89,0.92,1.04,1.16,0.96,1.22,1.05,0.94,1.13,0.69,1.1,1.24,1.0,0.86,1.05
e_0,1.55,0.92,0.86,1.12,0.93,0.85,1.07,0.94,1.03,0.97,0.94,0.68,1.08,1.25,1.0,0.91
g_0,0.99,1.24,0.86,1.03,0.93,1.09,0.83,0.97,0.82,0.97,0.98,1.19,0.77,0.94,1.08,1.0
