,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,12.24,0.76,0.88,0.53,0.54,0.68,0.79,0.76,2.21,0.95,0.93,0.91,0.94,0.97,0.6,1.0
f_1,1.81,12.85,0.65,0.63,0.51,0.53,0.65,0.85,0.91,0.92,0.86,0.41,0.8,0.96,0.68,0.86
c_1,0.5,0.59,13.08,0.62,1.64,0.62,0.98,0.91,0.88,0.64,0.36,1.18,0.93,0.89,0.98,1.04
d_1,0.51,0.66,0.55,16.19,0.63,0.7,1.13,1.1,0.58,1.36,2.33,1.11,1.01,0.91,1.15,0.89
b_1,0.59,0.6,0.61,0.61,15.74,1.69,0.95,0.83,0.74,0.45,0.83,0.9,0.62,1.01,0.81,1.01
a_1,0.61,0.71,0.67,0.82,0.61,19.76,1.29,1.12,0.8,1.09,0.84,0.87,0.68,1.12,1.04,0.84
h_1,0.67,1.45,0.66,0.83,0.77,0.55,3.8,1.46,0.85,0.99,1.06,0.98,1.06,0.79,1.24,1.59
g_1,0.58,0.67,0.75,1.64,0.6,0.55,1.07,4.71,0.72,1.1,1.08,2.17,0.95,1.04,1.55,0.67
d_0,0.63,0.83,2.18,0.46,0.81,0.65,0.91,0.82,2.18,1.11,0.67,1.01,1.13,1.13,1.18,0.98
b_0,0.7,0.8,0.86,1.04,0.44,0.54,1.17,1.07,0.95,2.89,1.47,1.41,3.94,1.3,1.36,1.3
c_0,0.85,0.89,0.54,0.88,0.51,0.71,1.16,0.98,1.07,3.82,2.67,1.26,1.71,1.36,1.31,1.24
f_0,0.49,0.54,0.83,0.9,0.93,0.65,1.15,1.18,0.99,1.28,1.18,3.4,1.51,1.25,3.6,1.11
a_0,0.66,1.0,0.68,0.96,0.88,0.38,0.99,0.97,1.19,1.18,1.13,1.13,3.22,1.49,1.24,1.59
h_0,0.71,1.23,0.71,0.92,0.66,0.64,0.68,1.58,0.88,1.01,1.0,1.03,1.1,0.7,0.96,1.52
e_0,0.43,1.03,0.93,0.9,0.65,0.52,1.02,1.0,1.05,1.4,1.16,1.32,1.78,1.49,3.65,1.48
g_0,0.7,0.5,0.76,1.65,0.65,0.6,0.94,0.61,0.95,1.41,1.13,2.04,1.43,1.0,1.17,0.89
