,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,9.51,1.72,0.66,0.7,0.6,0.55,0.87,0.81,0.81,0.89,0.85,0.66,0.82,0.82,0.6,0.9
e_1,0.76,10.06,0.57,1.02,0.72,0.58,0.91,0.67,0.73,2.54,0.9,0.91,1.11,1.08,0.84,1.07
d_1,0.79,0.63,13.41,0.51,0.61,0.68,1.0,1.14,2.74,0.65,1.29,1.12,1.04,1.1,0.93,1.05
c_1,0.58,0.54,0.67,11.2,1.8,0.88,0.84,0.95,0.58,0.73,0.66,0.95,0.93,0.81,1.03,0.75
b_1,0.62,0.53,0.68,0.84,13.64,1.88,0.91,0.92,0.8,0.8,0.62,0.96,1.0,0.62,0.93,0.9
a_1,0.73,0.61,0.89,0.66,0.64,19.36,1.28,1.17,1.0,0.83,1.14,1.0,0.92,0.75,1.18,1.03
h_1,1.32,0.75,0.8,0.72,0.65,0.69,3.46,1.56,1.09,0.83,1.15,1.08,0.92,1.34,1.18,1.44
g_1,0.62,0.58,1.87,0.65,0.63,0.76,0.93,4.32,1.48,0.62,1.43,2.21,1.11,1.26,1.42,1.02
c_0,1.15,0.85,1.02,0.61,0.49,0.62,1.28,1.05,2.18,0.99,3.4,1.24,1.29,1.6,1.34,1.28
d_0,0.82,0.73,0.51,2.49,0.87,0.65,1.02,0.96,0.61,1.82,1.12,0.89,1.2,1.01,1.02,1.01
b_0,1.03,0.78,1.04,0.87,0.41,0.62,1.32,1.18,0.98,0.89,2.6,1.06,1.12,2.97,1.14,1.22
f_0,0.57,0.63,0.98,0.73,0.72,0.91,1.08,1.17,1.12,1.35,1.44,3.4,1.23,1.27,4.06,1.53
h_0,1.37,0.84,0.97,0.63,0.77,0.69,0.56,1.26,0.82,0.81,0.99,0.92,0.85,1.05,1.06,1.43
a_0,0.98,0.71,0.95,0.92,0.87,0.57,1.18,0.83,1.04,1.02,1.09,0.91,1.23,2.52,0.9,1.12
e_0,0.98,0.52,1.15,0.73,0.74,0.55,0.97,1.58,1.0,1.17,1.32,1.42,1.17,1.95,3.83,1.1
g_0,0.65,0.59,1.75,0.8,0.76,0.64,0.93,0.91,1.12,0.94,1.24,1.82,1.25,1.25,1.59,0.89
