,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.46,1.6,2.03,1.54,1.62,1.74,3.18,3.09,5.4,3.56,3.46,3.87,3.78,4.57,3.17,4.7
f_1,2.33,2.57,1.69,1.67,1.54,1.51,2.56,3.13,3.71,3.59,3.49,2.62,3.33,4.17,2.83,4.57
c_1,1.43,1.65,2.6,1.68,2.47,1.78,3.36,3.12,3.16,2.81,2.57,4.01,3.61,4.31,3.88,4.62
d_1,1.56,1.72,1.57,2.64,1.68,1.66,3.49,3.15,3.42,4.21,5.43,3.79,4.0,4.56,4.14,4.02
b_1,1.66,1.75,1.47,1.59,2.75,2.69,3.32,3.15,3.14,2.94,3.62,3.3,2.9,4.69,3.48,4.54
a_1,1.69,1.77,1.71,1.8,1.42,3.13,3.9,3.8,3.44,3.96,3.38,3.51,3.75,5.11,4.38,4.41
h_1,1.69,2.37,1.64,1.77,1.68,1.38,4.3,3.88,3.31,3.52,3.76,3.31,3.98,4.41,4.26,5.62
g_1,1.56,1.71,1.76,2.25,1.64,1.52,3.2,4.74,3.02,3.69,3.76,4.99,3.62,4.29,4.78,3.94
d_0,1.48,1.76,2.56,1.49,1.96,1.66,3.14,3.33,4.4,3.75,2.82,3.62,3.94,4.78,4.18,4.55
b_0,1.7,1.93,1.9,1.8,1.52,1.45,3.41,3.4,3.68,4.67,3.77,4.02,6.76,5.0,4.36,5.02
c_0,1.85,1.9,1.78,1.63,1.5,1.78,3.42,3.25,4.29,5.46,4.68,3.89,5.2,5.26,4.39,5.1
f_0,1.39,1.74,1.84,1.85,2.07,1.59,3.54,3.22,3.67,3.76,3.89,4.98,4.64,5.03,6.8,4.34
a_0,1.61,2.01,1.76,1.82,2.1,1.33,3.21,3.15,3.96,3.07,3.43,3.47,5.25,5.24,3.79,5.37
h_0,1.74,2.07,1.77,1.88,1.67,1.56,2.9,4.04,3.34,3.53,3.39,3.53,3.72,4.04,3.56,5.42
e_0,1.56,2.23,1.81,1.8,1.78,1.29,3.14,3.01,3.57,4.06,3.71,3.32,4.84,5.58,5.52,5.07
g_0,1.73,1.51,1.78,2.24,1.66,1.67,2.95,2.84,3.7,3.99,3.72,4.67,4.28,4.26,4.18,4.3
