,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.95,0.85,0.5,0.5,0.41,0.31,0.31,0.34,0.28,0.31,0.24,0.29,0.29,0.18,0.18,0.26
e_1,0.56,0.95,0.66,0.47,0.44,0.37,0.37,0.54,0.32,0.32,0.35,0.3,0.35,0.21,0.24,0.24
c_1,0.65,0.47,0.95,0.56,0.77,0.39,0.33,0.28,0.31,0.21,0.3,0.23,0.32,0.2,0.21,0.29
d_1,0.61,0.64,0.44,0.95,0.45,0.39,0.39,0.31,0.31,0.56,0.37,0.37,0.33,0.25,0.22,0.26
b_1,0.68,0.61,0.51,0.55,0.94,0.69,0.38,0.41,0.34,0.33,0.32,0.24,0.36,0.24,0.24,0.3
a_1,0.76,0.66,0.7,0.65,0.45,0.94,0.43,0.44,0.34,0.37,0.35,0.35,0.39,0.27,0.24,0.31
h_1,1.14,0.87,0.93,0.78,0.66,0.49,0.78,0.47,0.58,0.47,0.44,0.49,0.39,0.29,0.32,0.47
d_0,0.97,0.77,1.33,0.7,0.76,0.57,0.62,0.7,0.48,0.45,0.56,0.49,0.48,0.32,0.33,0.51
g_1,0.95,0.86,0.78,1.15,0.69,0.54,0.53,0.5,0.77,0.48,0.7,0.5,0.48,0.4,0.42,0.37
c_0,1.02,1.05,0.8,0.77,0.69,0.57,0.64,0.6,0.62,0.71,0.56,0.89,0.56,0.45,0.46,0.45
f_0,0.89,0.76,0.94,0.91,0.86,0.71,0.67,0.61,0.47,0.61,0.72,0.54,0.54,0.7,0.38,0.45
b_0,1.11,1.04,1.09,0.88,0.67,0.54,0.64,0.55,0.59,0.44,0.51,0.71,0.55,0.4,0.63,0.5
h_0,1.33,0.98,0.93,0.91,0.79,0.65,0.6,0.62,0.64,0.54,0.52,0.56,0.52,0.42,0.39,0.55
e_0,1.13,0.93,1.13,1.0,0.98,0.68,0.8,0.74,0.62,0.59,0.54,0.64,0.67,0.66,0.5,0.58
a_0,1.39,1.05,1.09,1.01,0.89,0.5,0.69,0.67,0.55,0.56,0.61,0.5,0.68,0.43,0.66,0.55
g_0,0.84,1.09,1.0,1.34,0.91,0.73,0.64,0.53,0.53,0.67,0.82,0.62,0.58,0.47,0.39,0.48
