,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.15,118.93,85.63,73.12,91.59,,23.68,15.64,16.6,,19.39,14.89,13.81,21.84,14.46,6.75
e_1,104.06,1.15,49.45,69.72,88.53,80.25,30.21,28.16,17.42,22.46,14.31,23.58,10.7,20.75,,15.12
f_1,77.49,96.43,1.15,99.93,91.59,83.74,19.47,46.93,16.21,16.55,18.21,,8.23,17.29,18.41,12.6
c_1,140.08,89.2,79.8,1.15,120.73,137.57,31.29,22.71,,10.66,28.62,25.73,13.81,,,18.0
b_1,130.07,162.18,117.03,66.62,1.15,,24.33,28.16,31.68,19.66,,26.95,11.57,31.92,31.15,18.0
a_1,,132.15,159.59,199.87,,1.15,38.09,54.15,33.19,29.95,54.64,24.61,38.91,,,16.43
h_1,82.77,108.12,109.72,83.28,73.78,113.29,2.0,32.0,22.48,17.97,16.69,15.72,,14.82,18.41,12.6
g_1,113.81,123.03,152.65,119.92,110.67,101.37,23.05,2.0,29.04,24.19,27.32,28.3,10.7,25.94,28.93,
c_0,53.56,115.1,94.89,,91.59,137.57,29.2,22.0,3.2,20.29,15.02,17.69,10.7,11.53,17.61,10.5
d_0,,50.97,109.72,93.69,98.37,80.25,24.33,35.2,19.36,3.1,27.32,20.21,12.59,27.67,15.0,16.43
b_0,101.17,91.49,94.89,130.35,,137.57,32.44,27.08,9.29,20.29,3.01,21.77,23.78,24.41,27.0,22.24
f_0,107.12,169.9,,93.69,132.8,77.04,35.04,19.03,21.12,24.19,33.39,3.09,19.45,18.86,18.41,8.22
h_0,91.05,89.2,90.03,99.93,166.0,80.25,,27.08,15.84,20.29,18.21,16.65,,14.82,17.61,18.9
a_0,140.08,123.03,159.59,,189.71,,48.67,50.29,33.19,37.0,13.98,24.61,20.38,3.17,,22.24
e_0,140.08,,175.55,,115.48,,39.82,33.52,36.68,23.3,46.23,15.3,23.78,,2.96,29.08
g_0,98.43,127.43,195.06,88.18,98.37,107.0,19.91,,24.89,26.21,17.17,29.79,12.97,27.67,22.5,
