,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.75,0.75,1.26,0.83,0.73,0.7,0.93,0.81,0.91,1.04,0.94,0.68,0.99,0.95,0.84,0.71
d_1,0.85,1.89,0.77,0.63,0.75,0.77,0.99,1.04,1.63,0.7,1.27,1.09,0.99,1.2,1.17,1.0
e_1,0.86,0.72,1.83,1.0,0.75,0.74,0.97,1.04,0.91,1.52,0.96,1.06,1.11,0.9,0.93,0.71
c_1,0.8,0.82,0.68,2.06,1.41,0.76,0.86,0.85,0.59,0.87,0.63,0.86,0.87,0.87,0.98,1.0
b_1,0.8,0.85,0.76,0.79,2.11,1.44,0.96,0.89,0.82,0.86,0.69,0.98,0.91,0.67,0.88,1.13
a_1,0.93,0.88,0.83,0.77,0.79,2.63,1.06,1.04,0.9,0.89,1.04,0.96,1.04,0.72,0.97,0.89
h_1,1.1,0.92,0.9,0.86,0.79,0.77,1.74,1.13,1.03,0.86,0.96,1.01,0.8,1.05,1.32,1.04
g_1,0.86,1.34,0.71,0.78,0.81,0.72,1.06,1.98,1.14,0.82,1.12,1.43,1.11,1.01,0.84,1.32
c_0,0.95,1.01,0.84,0.78,0.63,0.81,1.02,1.1,1.57,1.0,2.02,1.17,1.2,1.49,1.11,1.23
d_0,0.86,0.67,0.79,1.55,0.96,0.8,0.92,1.08,0.68,1.43,0.95,1.04,1.08,1.07,1.03,1.18
b_0,0.85,1.05,0.88,0.99,0.57,0.58,1.16,1.03,1.07,1.1,1.77,1.16,1.2,2.25,1.21,1.22
f_0,0.83,0.99,0.78,0.96,0.78,0.88,1.12,1.05,1.02,1.06,1.15,1.79,1.11,1.2,1.2,2.25
h_0,1.02,1.0,0.84,0.92,0.82,0.82,0.83,1.2,1.08,1.03,1.18,1.07,0.85,1.17,1.34,1.09
a_0,0.9,0.93,0.85,1.01,0.74,0.67,1.11,1.08,0.96,1.09,1.06,1.2,1.22,2.11,1.16,1.24
g_0,0.89,1.22,0.77,0.81,0.9,0.8,0.99,0.93,1.18,1.0,1.07,1.51,0.98,1.2,0.95,1.34
e_0,0.92,0.99,0.73,0.94,0.93,0.83,1.1,1.1,1.0,0.99,1.19,1.02,1.11,1.05,1.16,2.15
