,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.69,0.72,0.55,0.51,0.63,0.6,0.88,1.01,1.77,1.16,0.45,1.07,0.99,0.97,1.06,1.14
f_1,0.59,2.65,1.2,0.57,0.56,0.68,0.9,0.72,0.73,0.91,0.84,0.35,0.78,0.89,0.74,0.8
e_1,0.58,0.72,2.66,0.83,0.64,0.55,0.88,0.76,0.82,0.86,1.81,0.91,0.94,0.85,0.41,0.77
c_1,0.65,0.57,0.57,2.92,1.28,0.55,0.83,0.95,0.37,0.66,0.97,1.11,0.88,0.89,0.89,0.9
b_1,0.66,0.72,0.61,0.58,3.19,1.26,0.87,0.76,0.88,0.45,0.66,0.9,0.91,0.87,0.87,1.0
a_1,0.71,0.67,0.72,0.72,0.44,4.13,1.02,0.92,0.96,1.18,1.02,0.75,1.26,0.63,1.26,0.93
h_1,0.93,1.1,0.67,0.77,0.64,0.68,2.66,1.43,1.04,1.11,0.83,1.01,0.68,1.14,1.09,1.71
g_1,1.32,0.68,0.66,0.69,0.65,0.7,1.02,3.15,1.19,1.03,0.84,1.91,1.33,1.11,1.26,0.71
c_0,0.91,0.88,0.76,0.54,0.58,0.8,1.2,1.08,2.18,2.41,1.16,1.36,1.32,1.51,1.21,1.22
b_0,0.82,0.9,0.77,0.93,0.49,0.56,1.26,1.25,1.09,2.14,1.18,1.26,1.4,2.13,1.32,1.14
d_0,0.42,0.68,0.81,1.81,0.8,0.6,1.21,1.04,0.83,1.02,2.1,1.3,1.16,1.16,1.14,1.1
f_0,0.86,0.62,0.6,1.02,0.84,0.71,1.1,1.25,1.17,1.21,1.15,2.5,1.45,1.0,2.69,1.29
h_0,0.98,0.94,0.68,0.88,0.71,0.58,0.86,1.66,1.05,1.2,1.07,1.36,0.8,1.13,1.47,1.51
a_0,1.0,0.86,0.66,0.89,0.81,0.42,1.31,1.26,1.12,1.4,1.11,1.35,1.39,2.98,1.16,1.48
e_0,0.93,0.89,0.37,0.98,0.86,0.71,1.09,1.31,1.17,1.44,0.94,1.25,1.51,1.55,3.19,1.43
g_0,1.23,0.69,0.65,0.85,0.9,0.69,1.19,0.83,1.17,1.13,0.85,1.94,1.09,0.99,1.3,0.84
