,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,7.24,14.35,16.3,14.62,18.41,2.95,2.47,2.8,4.21,2.44,2.34,1.95,1.91,,1.89
f_1,11.96,0.17,11.44,13.68,11.4,10.17,2.51,2.8,2.73,4.11,2.44,,1.41,2.51,2.41,2.07
c_1,15.19,13.99,0.16,16.52,13.88,9.55,3.58,1.17,,4.03,2.49,2.28,1.9,2.85,2.93,1.73
d_1,20.21,12.63,13.6,0.16,12.64,11.68,3.19,,2.25,2.17,2.3,4.19,1.55,3.12,3.48,0.85
b_1,13.64,12.87,6.69,11.1,0.13,16.21,3.66,3.09,3.56,3.9,,2.51,1.29,,3.04,1.68
a_1,14.23,10.89,11.94,17.51,5.54,0.1,3.36,2.81,2.18,4.13,4.28,3.15,2.47,,,2.18
h_1,3.79,4.07,3.7,3.01,3.38,3.2,0.07,0.69,0.68,0.77,0.74,0.47,,0.53,0.65,0.44
d_0,1.44,2.53,2.56,,3.09,2.19,0.65,0.09,0.44,0.7,0.44,0.54,0.3,0.62,0.47,0.48
c_0,2.28,2.33,,1.42,3.39,1.81,0.75,0.5,0.08,0.89,0.62,0.48,0.35,0.45,0.43,0.47
g_1,4.04,3.94,3.17,2.8,3.19,4.13,0.83,0.83,0.8,0.05,0.72,0.72,0.34,0.78,0.45,
b_0,2.15,2.51,4.46,2.51,,4.28,0.99,0.45,0.26,0.99,0.07,0.5,0.36,0.46,0.53,0.35
f_0,2.34,,2.14,2.38,2.51,2.76,0.81,0.54,0.45,0.35,0.87,0.07,0.49,0.46,0.43,0.31
h_0,2.01,1.69,1.42,1.64,1.56,2.03,,0.26,0.35,0.56,0.32,0.4,,0.33,0.3,0.19
a_0,2.47,2.88,2.58,2.21,,,0.58,0.49,0.74,0.6,0.32,0.46,0.38,0.05,0.44,
e_0,,2.65,2.62,2.44,2.19,,0.56,0.57,0.53,0.67,0.53,0.3,0.33,0.52,0.05,0.33
g_0,1.65,1.99,1.73,1.9,1.42,1.89,0.42,0.46,0.33,,0.29,0.3,0.17,,0.33,
