,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.96,0.72,1.55,1.98,3.31,24.59,26.21,33.92,27.69,48.25,44.54,106.41,,130.63,161.2
d_1,1.05,1.0,1.11,1.25,1.67,4.21,20.04,17.78,,41.21,32.6,39.37,76.52,96.45,91.26,82.03
f_1,1.39,0.9,1.0,1.25,1.6,2.33,15.41,22.55,28.85,28.04,,32.98,47.27,72.05,91.17,122.44
c_1,0.64,0.8,0.8,1.0,1.9,1.97,15.47,18.74,15.64,,32.64,26.24,67.05,58.04,79.02,85.16
b_1,0.5,0.6,0.62,0.53,1.0,2.37,12.35,12.1,18.33,22.98,22.23,,43.83,41.97,,82.68
a_1,0.3,0.24,0.43,0.51,0.42,1.0,7.73,6.71,6.65,9.17,13.73,12.9,22.05,30.39,,47.94
h_1,0.04,0.05,0.06,0.06,0.08,0.13,1.0,1.45,1.25,1.64,1.41,1.45,,5.74,4.97,8.2
g_1,0.04,0.06,0.04,0.05,0.08,0.15,0.69,1.0,1.41,1.44,3.34,2.15,2.58,3.89,4.76,
d_0,0.03,,0.03,0.06,0.05,0.15,0.8,0.71,1.0,1.19,1.36,1.26,2.86,3.54,3.31,4.66
c_0,0.04,0.02,0.04,,0.04,0.11,0.61,0.69,0.84,1.0,1.74,1.73,2.55,2.45,3.17,4.17
f_0,0.02,0.03,,0.03,0.04,0.07,0.71,0.3,0.74,0.58,1.0,1.12,1.93,3.0,2.47,2.59
b_0,0.02,0.03,0.03,0.04,,0.08,0.69,0.47,0.79,0.58,0.89,1.0,1.39,1.45,3.54,2.98
h_0,0.01,0.01,0.02,0.01,0.02,0.05,,0.39,0.35,0.39,0.52,0.72,,1.08,1.33,1.64
e_0,,0.01,0.01,0.02,0.02,0.03,0.17,0.26,0.28,0.41,0.33,0.69,0.92,1.0,,1.61
a_0,0.01,0.01,0.01,0.01,,,0.2,0.21,0.3,0.32,0.4,0.28,0.75,,1.0,1.11
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,,0.21,0.24,0.39,0.34,0.61,0.62,0.9,
