,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.42,2.23,1.55,1.72,1.54,1.54,3.07,3.15,3.06,3.78,3.27,2.82,4.1,3.49,4.23,3.03
e_1,1.63,2.43,1.4,2.08,1.71,1.63,3.36,3.4,3.44,5.53,3.76,3.79,4.67,4.1,4.46,3.26
d_1,1.77,1.71,2.54,1.48,1.52,1.57,3.29,3.12,5.44,3.03,4.36,3.9,4.66,3.93,4.27,3.77
c_1,1.58,1.44,1.79,2.63,2.68,1.71,3.22,3.23,2.71,3.02,2.9,3.69,4.45,3.84,4.19,3.72
b_1,1.67,1.55,1.9,1.41,2.92,2.86,3.18,3.13,3.72,3.34,3.15,3.37,4.67,3.18,5.21,3.94
a_1,1.73,1.67,1.91,1.6,1.5,3.4,3.28,3.21,3.81,3.24,4.21,3.61,5.05,3.15,5.37,4.24
h_1,1.96,1.68,1.85,1.74,1.78,1.65,4.26,4.02,3.38,3.48,3.68,3.86,4.45,3.48,5.75,4.01
g_1,1.68,1.56,2.14,1.75,1.81,1.76,2.91,4.77,3.52,3.04,3.5,4.6,4.33,3.61,3.9,4.56
c_0,1.98,1.8,1.56,1.73,1.54,1.7,3.72,3.59,4.59,3.77,5.83,4.31,5.24,4.77,5.07,4.52
d_0,1.68,1.44,1.51,2.68,1.99,1.75,3.22,3.43,3.05,4.49,3.41,4.06,4.78,3.25,4.35,3.97
b_0,1.96,1.79,1.48,1.94,1.5,1.38,3.68,3.7,3.26,4.12,4.69,4.11,5.42,6.73,5.15,4.55
f_0,1.67,1.47,1.85,1.89,1.93,2.03,3.64,3.29,3.77,3.77,3.89,4.95,4.65,3.99,4.13,6.87
h_0,2.1,1.68,1.75,1.77,1.49,1.7,3.08,3.97,3.62,3.49,3.54,3.63,4.03,3.83,5.54,3.64
a_0,1.86,1.6,1.77,1.82,2.01,1.6,3.73,3.45,3.58,4.05,2.86,4.15,4.94,5.28,4.81,4.56
g_0,1.66,1.58,2.29,1.78,1.54,1.55,3.04,3.33,3.93,3.57,3.86,5.16,4.73,4.01,4.46,4.07
e_0,1.91,1.55,1.8,1.79,1.73,1.93,3.26,2.97,3.33,3.78,3.96,3.54,5.1,3.95,5.03,5.76
