,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.34,0.77,0.92,0.63,0.71,0.6,1.62,1.4,3.08,1.11,2.26,1.7,2.12,1.76,1.57,2.19
e_1,0.7,2.35,0.86,0.97,0.78,0.68,1.47,1.3,1.68,2.98,1.55,1.9,2.3,1.65,0.97,1.89
f_1,0.74,1.52,2.38,0.78,0.68,0.51,1.18,1.19,1.62,1.69,1.67,0.94,2.13,1.35,0.95,1.33
c_1,0.85,0.74,0.75,2.55,1.36,0.71,1.52,1.24,0.94,1.51,1.17,1.7,1.94,1.21,1.11,1.93
b_1,0.96,0.7,0.9,0.77,2.68,1.22,1.82,1.32,1.53,1.42,1.02,1.49,1.82,0.86,1.66,2.09
a_1,0.93,0.87,0.97,0.81,0.62,3.11,1.74,1.47,1.61,2.0,1.47,1.73,2.62,0.95,1.79,2.17
h_1,0.96,0.83,1.16,0.94,0.83,0.69,3.27,1.88,1.82,1.75,1.83,1.59,1.74,1.36,1.72,2.85
g_1,1.51,0.73,0.63,0.9,0.82,0.68,1.67,3.57,1.9,1.46,1.76,2.69,2.27,1.85,2.09,1.68
c_0,1.1,0.97,0.96,0.6,0.69,0.66,1.61,1.7,3.1,1.97,3.35,1.94,2.69,2.29,1.6,2.23
d_0,0.68,0.96,1.0,1.66,0.8,0.58,1.57,1.54,1.28,2.99,1.38,1.79,2.3,1.51,1.63,2.19
b_0,1.17,0.95,0.94,0.82,0.49,0.53,1.86,1.71,2.11,1.78,3.24,1.65,2.62,3.76,1.56,2.39
f_0,1.03,0.68,0.82,0.89,0.81,0.92,2.03,1.81,2.1,1.77,1.95,3.3,2.87,1.73,3.79,2.34
h_0,1.09,0.9,1.31,0.95,0.82,0.54,1.15,1.94,2.03,1.63,1.55,1.57,1.8,1.9,1.24,2.61
a_0,1.13,1.02,0.93,0.97,0.64,0.51,1.94,1.76,2.14,1.92,1.96,1.93,2.51,3.3,1.43,2.25
e_0,1.1,0.73,0.98,0.93,0.85,0.7,1.94,1.6,2.04,1.72,1.87,1.82,2.94,1.78,3.42,2.42
g_0,1.47,0.81,0.91,0.83,0.73,0.68,1.72,1.48,2.14,1.59,1.69,2.67,2.14,1.93,1.59,2.02
