,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.46,38.2,30.04,33.46,29.22,27.38,6.77,9.69,5.79,6.94,6.6,,3.54,6.83,4.66,4.77
e_1,16.64,0.45,49.84,28.89,30.28,38.91,8.79,7.6,6.7,8.82,8.95,7.59,4.82,7.0,4.91,
d_1,38.2,43.8,0.43,37.35,42.14,28.57,9.4,6.51,,6.32,6.94,5.88,4.73,8.65,2.48,7.09
c_1,40.22,32.05,46.02,0.42,31.57,51.34,9.38,8.47,3.55,,8.6,7.59,4.86,7.9,5.57,
b_1,45.65,27.29,46.59,22.28,0.39,27.99,16.51,12.08,6.26,9.35,,8.51,4.54,6.65,7.15,9.91
a_1,60.85,38.97,39.93,39.02,32.66,0.33,15.03,11.57,10.17,9.79,9.06,11.22,6.75,,6.54,
h_1,17.7,27.21,17.21,16.11,14.07,19.58,0.37,4.54,3.78,2.85,3.01,3.14,,3.51,3.17,3.77
g_1,17.78,21.97,18.07,20.18,24.11,22.43,4.02,0.34,5.13,4.48,2.72,4.06,2.59,,,
d_0,14.76,8.35,,15.76,20.64,23.82,3.87,4.38,0.5,3.52,3.32,2.56,2.01,,1.72,3.87
c_0,18.94,14.56,8.42,,15.49,17.69,3.8,7.25,3.14,0.5,3.18,2.69,1.97,4.2,2.47,2.87
b_0,15.76,19.85,15.88,23.37,,14.31,4.54,5.38,2.78,1.78,0.47,4.2,2.13,3.28,2.06,3.19
f_0,,16.56,14.19,15.58,26.31,18.11,7.57,3.09,3.14,3.41,3.61,0.43,2.31,3.19,1.9,
h_0,11.24,15.53,9.84,13.24,9.74,8.49,,3.57,2.94,2.13,2.9,2.87,,2.56,1.71,1.92
a_0,16.8,22.29,28.42,16.63,29.06,,5.09,,,4.13,2.74,3.82,2.28,0.39,3.12,3.2
g_0,19.65,17.37,17.2,15.43,13.48,19.8,2.42,,3.99,2.91,2.63,2.62,1.51,2.14,,2.41
e_0,29.42,,22.71,,18.58,,4.85,,3.71,3.09,3.85,,3.23,3.06,3.29,0.37
