,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.34,1.21,0.69,0.66,0.78,0.74,1.34,1.47,1.39,1.74,1.67,0.56,1.86,1.59,1.54,2.28
e_1,0.71,2.42,0.76,0.71,0.68,0.78,1.61,3.07,1.66,2.09,1.55,1.89,1.9,1.61,1.54,2.2
c_1,0.8,0.81,2.53,0.81,1.22,0.76,1.34,1.34,1.22,0.6,1.69,1.82,2.02,1.52,1.51,1.98
d_1,0.85,0.74,0.71,2.59,0.72,0.75,1.43,1.02,1.46,2.43,1.88,1.46,2.34,1.86,1.24,2.22
b_1,0.86,0.77,0.64,0.81,2.74,1.23,1.72,1.49,1.38,1.3,0.55,1.84,2.22,1.31,1.32,2.53
a_1,0.82,0.67,0.8,0.79,0.7,3.25,1.69,1.77,1.73,1.81,1.66,2.2,1.93,0.94,1.98,1.51
h_1,1.35,0.89,1.08,1.05,0.81,0.82,3.83,2.1,2.49,2.2,2.47,2.07,1.63,2.19,2.46,2.55
d_0,1.01,0.7,1.86,0.65,1.01,0.93,2.01,3.65,2.22,2.33,2.54,2.3,3.32,2.13,2.68,2.39
g_1,0.88,0.85,1.16,1.37,1.11,0.87,1.65,1.87,4.42,1.81,2.66,3.49,2.55,2.7,2.49,1.69
c_0,1.05,0.92,0.99,1.07,1.01,0.88,2.06,2.49,2.29,3.85,4.26,2.11,3.19,2.45,2.57,2.72
b_0,1.09,1.05,1.21,0.97,0.71,0.88,2.13,2.31,1.58,1.74,4.0,2.28,3.15,4.06,2.93,2.91
f_0,0.59,0.99,1.18,1.11,1.06,0.74,2.19,2.35,1.76,2.14,2.48,4.32,3.29,3.02,5.09,2.16
h_0,1.31,1.02,1.0,0.98,0.92,1.07,1.31,1.9,2.37,1.78,2.59,2.28,1.6,2.15,2.52,3.32
a_0,1.07,1.06,1.27,1.13,1.01,,2.11,2.43,1.82,2.47,1.57,2.33,3.22,4.67,2.44,3.15
e_0,0.93,,1.3,1.55,1.2,0.9,2.0,2.18,2.39,2.61,2.04,1.95,3.29,2.4,4.92,1.77
g_0,0.92,0.95,1.16,1.37,0.88,1.13,1.89,2.04,1.52,2.05,2.12,3.27,2.42,1.9,3.11,1.57
