,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,88.07,44.38,59.87,106.98,138.54,339.87,8180.81,25722.79,19601.76,21879.33,32365.47,49881.75,125948.2,142004.99,208364.61,131039.89
f_1,62.6,94.92,66.56,79.05,122.96,330.65,6040.43,15194.38,16946.96,19540.04,26257.95,26694.35,83017.75,119053.44,150563.07,94187.27
d_1,37.26,41.48,132.33,64.73,98.72,295.88,6208.85,8089.71,27121.6,20245.08,24680.17,44231.84,99199.8,97993.74,152344.14,146049.79
c_1,30.48,38.76,57.71,163.26,166.04,229.34,5463.64,11179.85,7068.18,15427.2,15860.18,35180.22,67999.11,108214.51,138864.93,126546.25
b_1,27.06,36.91,49.96,48.75,229.72,410.32,4632.19,11802.07,14796.62,15452.56,10859.39,23534.58,76416.16,63171.82,115027.14,113160.5
a_1,20.01,25.38,35.89,51.86,54.74,515.21,3567.01,8888.17,8614.18,12731.48,13280.52,20335.2,53502.94,42715.9,96927.6,86483.82
h_1,9.55,15.3,16.33,22.21,33.88,86.34,2841.49,4312.28,4376.7,7454.46,6728.05,11285.75,23248.15,25696.72,59672.36,39760.94
d_0,7.48,8.88,11.08,29.32,27.97,65.12,1334.52,4497.92,3241.05,4338.04,5562.6,9329.96,21994.85,21636.46,36645.04,30100.82
c_0,8.22,9.57,11.51,15.38,20.89,74.89,1510.76,3511.52,5265.62,4037.77,8752.91,9961.28,22801.83,28835.91,36160.69,29336.27
g_1,7.21,6.67,15.74,16.61,19.68,48.09,1020.27,2764.22,3493.82,7561.31,4741.72,11330.39,15051.11,20122.2,18933.06,31055.05
b_0,6.55,8.08,13.55,17.51,19.4,49.64,1233.93,2550.57,2586.3,3965.01,7113.86,7613.22,19091.2,35136.78,33516.62,29966.51
f_0,4.38,4.84,10.81,14.66,25.53,56.42,970.63,2427.27,2760.48,3221.55,4043.42,10099.36,17585.17,17418.64,23605.26,44158.34
h_0,4.2,7.24,8.06,11.44,13.52,42.35,495.35,1875.37,2051.2,3301.36,3540.75,3980.86,8861.09,12139.92,25504.79,18181.4
a_0,4.17,4.81,8.36,9.37,16.78,24.46,813.95,1921.23,1851.75,2382.5,2455.29,4569.98,11989.8,22787.17,16107.1,16290.23
g_0,2.83,3.9,9.51,9.26,15.06,31.66,590.76,1368.01,1841.66,1708.0,2748.81,6202.1,9893.66,13631.16,14631.39,19917.61
e_0,2.38,5.81,6.01,9.59,14.33,37.34,666.94,1631.77,1674.46,1873.37,2223.32,3847.29,10950.38,10356.98,15102.46,27650.13
