,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.96,0.62,0.74,0.55,0.58,0.39,0.41,0.6,0.33,0.31,0.32,0.35,0.29,0.34,0.22,0.3
f_1,0.94,0.96,0.6,0.54,0.55,0.39,0.35,0.43,0.35,0.29,0.33,0.28,0.28,0.3,0.21,0.29
c_1,0.57,0.65,0.96,0.64,0.85,0.42,0.39,0.32,0.32,0.34,0.29,0.33,0.24,0.34,0.26,0.3
d_1,0.67,0.73,0.49,0.96,0.57,0.4,0.46,0.34,0.59,0.34,0.43,0.33,0.31,0.36,0.28,0.26
b_1,0.64,0.67,0.62,0.63,0.95,0.65,0.45,0.39,0.39,0.33,0.29,0.32,0.26,0.35,0.27,0.32
a_1,0.8,0.76,0.78,0.78,0.57,0.94,0.52,0.48,0.43,0.43,0.37,0.41,0.36,0.39,0.35,0.41
h_1,0.94,1.18,0.93,0.94,0.84,0.61,0.81,0.55,0.51,0.56,0.52,0.48,0.45,0.42,0.39,0.49
d_0,0.86,0.97,1.47,0.83,0.98,0.54,0.57,0.76,0.47,0.58,0.43,0.49,0.43,0.52,0.39,0.42
c_0,1.06,1.11,0.91,0.94,0.8,0.66,0.73,0.7,0.76,0.58,0.84,0.63,0.55,0.55,0.39,0.46
g_1,0.95,0.95,0.94,1.3,0.92,0.64,0.61,0.51,0.61,0.79,0.55,0.69,0.47,0.49,0.47,0.4
b_0,1.06,1.05,1.04,1.04,0.93,0.75,0.73,0.68,0.6,0.62,0.75,0.57,0.74,0.55,0.45,0.51
f_0,0.93,1.08,1.03,1.06,1.04,0.72,0.75,0.7,0.61,0.56,0.66,0.74,0.54,0.66,0.73,0.46
a_0,1.14,1.19,1.16,1.11,1.03,0.61,0.8,0.74,0.69,0.62,0.55,0.57,0.71,0.65,0.46,0.54
h_0,1.13,1.39,1.06,1.06,1.01,0.76,0.6,0.67,0.7,0.73,0.66,0.57,0.46,0.55,0.49,0.67
e_0,1.14,1.42,1.06,1.24,0.99,0.66,0.86,0.74,0.74,0.63,0.64,0.53,0.59,0.63,0.65,0.61
g_0,1.18,1.18,1.13,1.49,1.03,0.66,0.76,0.66,0.78,0.58,0.62,0.79,0.5,0.55,0.49,0.53
