,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.45,1.51,2.12,1.76,2.12,1.66,0.42,0.36,0.58,0.34,0.37,0.82,0.24,0.39,0.4,0.39
e_1,1.07,0.45,2.07,1.84,2.16,2.12,0.6,0.52,0.79,0.43,0.38,0.54,0.32,1.52,0.44,0.35
c_1,1.78,1.97,0.42,2.77,2.14,2.04,0.62,0.23,0.65,0.73,0.45,0.36,0.27,0.28,0.33,0.28
d_1,2.39,2.74,2.13,0.4,2.11,1.85,0.64,1.21,0.39,0.38,0.46,0.42,0.33,0.5,0.51,0.21
b_1,2.73,2.43,1.16,2.62,0.39,2.8,0.64,0.57,0.59,0.77,1.06,0.5,0.34,0.39,0.48,0.27
a_1,3.26,2.99,2.82,3.46,1.2,0.33,0.94,0.84,0.87,0.66,0.71,0.54,0.39,0.51,1.13,0.49
h_1,3.39,3.1,3.35,2.64,4.08,2.88,0.34,0.64,0.93,0.7,0.64,0.63,1.05,0.6,0.64,0.41
d_0,3.87,1.83,4.37,8.58,3.74,3.33,1.16,0.4,1.12,0.84,0.73,0.65,0.54,0.87,0.7,0.59
g_1,4.69,3.15,3.83,3.84,4.61,4.12,0.78,0.71,0.3,0.75,0.69,0.65,0.42,0.77,0.66,0.98
c_0,4.03,4.09,10.6,1.87,4.35,4.79,1.02,1.15,0.96,0.37,0.96,0.89,0.51,0.73,0.82,0.55
b_0,4.95,3.26,6.26,3.04,12.18,3.84,1.28,0.91,1.06,0.39,0.35,0.87,0.59,0.83,0.78,0.61
f_0,8.0,3.71,4.65,4.11,3.97,4.02,1.16,0.98,0.85,0.72,0.74,0.33,0.65,0.68,0.88,0.32
h_0,5.32,4.16,5.05,4.03,3.99,4.28,2.97,0.91,1.39,0.96,1.06,0.96,1.03,0.79,0.89,0.77
e_0,6.91,8.93,5.65,4.0,4.66,4.46,1.2,0.87,1.19,1.02,1.03,0.56,0.57,0.32,0.84,0.55
a_0,4.63,3.72,6.03,4.52,6.6,8.56,1.61,0.98,1.49,0.84,0.55,1.27,0.82,1.32,0.32,0.79
g_0,7.39,5.9,5.54,4.74,5.0,4.83,1.16,1.07,2.34,1.1,0.99,0.89,0.46,0.79,0.9,1.2
