,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.91,0.34,0.27,0.39,0.26,0.17,0.27,0.23,0.5,0.26,0.26,0.2,0.24,0.31,0.11,0.18
f_1,0.55,0.91,0.3,0.29,0.23,0.15,0.27,0.19,0.28,0.26,0.26,0.13,0.2,0.25,0.13,0.18
d_1,0.3,0.34,0.91,0.23,0.25,0.18,0.3,0.27,0.2,0.51,0.33,0.23,0.21,0.29,0.19,0.25
c_1,0.32,0.33,0.29,0.9,0.47,0.17,0.28,0.23,0.25,0.14,0.17,0.2,0.2,0.26,0.17,0.18
b_1,0.32,0.33,0.31,0.28,0.89,0.34,0.27,0.24,0.27,0.21,0.16,0.22,0.14,0.31,0.16,0.23
a_1,0.36,0.34,0.29,0.29,0.25,0.88,0.31,0.27,0.26,0.28,0.26,0.21,0.17,0.31,0.21,0.25
h_1,0.36,0.48,0.37,0.34,0.25,0.14,0.61,0.37,0.29,0.29,0.25,0.24,0.23,0.2,0.2,0.31
g_1,0.32,0.28,0.52,0.36,0.26,0.16,0.3,0.62,0.32,0.29,0.27,0.35,0.22,0.35,0.21,0.17
d_0,0.38,0.34,0.25,0.58,0.29,0.19,0.32,0.27,0.49,0.22,0.25,0.23,0.22,0.32,0.21,0.21
c_0,0.41,0.37,0.37,0.27,0.26,0.18,0.31,0.27,0.34,0.51,0.58,0.3,0.33,0.38,0.21,0.27
b_0,0.39,0.38,0.33,0.38,0.21,0.15,0.32,0.28,0.36,0.3,0.53,0.27,0.49,0.35,0.21,0.24
f_0,0.29,0.29,0.37,0.35,0.27,0.25,0.3,0.3,0.41,0.36,0.29,0.5,0.31,0.38,0.45,0.29
a_0,0.4,0.43,0.36,0.31,0.3,0.15,0.34,0.26,0.32,0.31,0.31,0.27,0.43,0.35,0.23,0.24
h_0,0.35,0.51,0.38,0.34,0.26,0.19,0.22,0.29,0.29,0.28,0.29,0.2,0.2,0.23,0.23,0.29
e_0,0.3,0.42,0.35,0.34,0.29,0.2,0.37,0.29,0.28,0.29,0.28,0.25,0.23,0.34,0.43,0.28
g_0,0.29,0.37,0.56,0.31,0.26,0.17,0.29,0.24,0.25,0.36,0.28,0.38,0.22,0.3,0.22,0.21
