,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,99.61,70.11,119.96,100.46,139.51,619.3,10615.76,20281.37,33642.92,45077.56,61431.99,57224.79,106892.22,167119.02,176626.95,345810.85
f_1,90.98,109.77,99.07,99.01,121.19,501.44,9045.9,19502.99,22628.18,42171.78,45525.09,50011.28,100365.68,148820.66,131752.36,296615.91
c_1,55.55,66.78,136.78,102.43,160.59,546.55,8951.56,16534.35,16795.93,36240.17,48350.34,43198.14,91219.11,134737.99,169409.07,255128.39
d_1,59.48,72.08,72.77,152.51,100.03,479.95,8748.86,16078.09,15724.31,64355.14,48981.68,56267.16,111625.93,143641.25,176006.65,241433.61
b_1,51.13,62.02,78.29,96.42,166.85,824.4,8206.67,14525.63,19071.89,42768.62,45465.02,41464.19,76103.36,132818.83,158834.15,268936.13
a_1,31.31,41.22,52.39,56.95,55.65,594.47,5919.0,9338.83,10462.21,23403.55,27613.75,33474.56,50672.87,83204.35,105922.18,154235.29
h_1,16.24,22.8,24.45,28.94,28.83,132.94,3209.18,5604.68,5019.77,10638.36,12688.46,13630.11,23612.8,34211.49,42021.51,86022.11
g_1,12.79,14.4,19.16,30.5,22.92,119.14,1787.58,5300.57,3580.4,9773.38,14285.29,12196.25,22892.31,30791.75,38721.27,56743.41
d_0,10.96,15.09,29.81,19.02,24.88,114.54,2048.1,3880.02,5117.87,7998.71,10389.46,10548.84,23089.12,29426.26,37913.45,60901.69
c_0,10.39,13.16,13.58,16.89,16.25,81.1,1761.05,3218.07,3275.56,9700.2,8439.46,13906.62,20718.98,24624.95,27951.96,51696.14
f_0,8.63,11.53,15.13,17.1,18.29,87.92,1554.11,2552.99,3465.74,7192.26,10548.89,9324.58,18605.46,24439.76,48072.69,40597.3
b_0,10.31,12.15,14.55,17.48,15.36,66.49,1572.37,3168.27,2929.21,6946.7,7946.08,11341.35,26821.21,22428.6,24187.11,48558.04
a_0,7.78,9.69,12.03,12.36,14.81,58.59,1301.95,2354.37,2428.72,5828.77,6879.39,6122.99,18135.31,18898.99,27077.23,33548.92
h_0,7.09,9.79,11.7,12.46,13.09,56.13,1014.05,2489.25,2509.0,5587.22,5313.33,6300.46,13058.82,15696.5,19309.23,40241.22
e_0,5.2,9.03,10.0,11.32,12.12,56.85,1165.31,1908.86,1963.13,5379.62,4578.04,6103.09,11016.48,17182.34,25856.52,30314.5
g_0,5.22,6.7,9.54,13.0,11.04,50.06,868.78,1617.22,1859.01,4304.35,6542.94,4943.96,9683.15,12903.28,19157.65,24653.22
