,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.74,0.92,1.05,1.11,0.9,1.22,1.0,1.34,0.82,1.15,0.92,1.03,0.94,1.04,
f_1,1.34,1.0,0.95,0.97,0.93,0.91,0.83,1.05,0.98,1.32,0.96,,0.81,0.96,0.89,1.0
d_1,1.09,1.05,1.0,0.83,1.0,1.15,0.94,0.72,,1.46,1.14,0.98,1.09,0.64,1.14,1.12
c_1,0.95,1.03,1.21,1.0,1.2,0.98,1.25,1.07,0.81,,0.71,0.88,1.16,1.02,0.91,0.76
b_1,0.9,1.07,1.0,0.83,1.0,1.13,0.91,1.13,0.87,1.34,,1.02,1.12,0.94,1.0,0.96
a_1,1.11,1.1,0.87,1.02,0.88,1.0,1.16,1.18,1.11,0.91,0.93,0.94,0.95,1.0,,
h_1,0.82,1.2,1.06,0.8,1.1,0.86,1.0,0.93,1.0,0.82,0.94,1.31,,1.3,1.11,1.05
g_1,1.0,0.96,1.38,0.94,0.88,0.85,1.08,1.0,1.04,0.77,0.85,1.18,0.93,,1.17,0.97
d_0,0.75,1.02,,1.24,1.15,0.9,1.0,0.96,1.0,0.93,0.98,1.17,1.01,1.15,1.02,0.89
c_0,1.22,0.76,0.69,,0.75,1.1,1.22,1.29,1.08,1.0,1.52,1.11,0.94,1.37,0.79,
b_0,0.87,1.05,0.88,1.41,,1.07,1.06,1.17,1.02,0.66,1.0,1.05,1.06,1.02,1.07,1.13
f_0,1.09,,1.02,1.14,0.98,1.07,0.76,0.85,0.85,0.9,0.95,1.0,1.13,0.86,1.21,
h_0,0.97,1.24,0.92,0.86,0.89,1.06,,1.08,0.99,1.07,0.95,0.89,,1.2,0.85,1.2
g_0,1.06,1.04,1.55,0.98,1.06,1.0,0.77,,0.87,0.73,0.98,1.16,0.83,,,0.87
a_0,0.97,1.13,0.88,1.1,1.0,,0.9,0.86,0.98,1.27,0.93,0.83,1.18,,1.0,
e_0,,1.0,0.89,1.31,1.04,,0.95,1.03,1.13,,0.89,,0.83,1.14,,1.0
