,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.66,0.59,0.63,0.57,0.54,0.57,2.35,5.36,2.27,2.89,3.25,3.31,3.96,2.57,0.74,5.15
f_1,1.18,5.67,0.58,0.49,0.49,0.4,2.0,2.88,2.09,2.75,3.01,0.64,4.94,2.71,2.39,4.42
c_1,0.46,0.55,6.69,0.51,1.14,0.75,2.29,3.45,2.31,0.6,2.21,3.07,3.55,2.72,3.3,4.16
d_1,0.5,0.74,0.45,6.84,0.59,0.58,2.44,0.69,2.51,5.46,3.0,2.71,4.65,3.43,2.98,3.18
b_1,0.56,0.55,0.77,0.68,7.45,1.1,1.77,2.3,1.66,2.17,0.5,2.9,5.44,1.96,2.53,4.16
a_1,0.63,0.55,0.65,0.77,0.55,10.07,2.14,2.48,2.8,2.67,2.48,2.64,3.91,0.53,2.64,3.99
h_1,0.9,1.71,0.94,1.02,0.89,0.88,15.52,4.47,3.85,4.35,5.19,4.97,3.09,6.26,4.86,7.75
d_0,0.78,1.15,2.22,0.29,1.24,0.92,3.7,12.96,3.4,3.78,5.09,6.07,7.63,5.13,6.22,7.0
g_1,0.87,1.05,0.82,1.7,1.13,0.85,3.28,5.12,17.96,5.18,6.49,5.73,6.9,4.77,5.63,3.56
c_0,1.08,1.28,0.34,1.32,0.6,0.97,5.25,4.57,4.17,14.92,12.01,5.99,7.22,7.54,6.45,8.99
b_0,1.2,1.16,0.95,1.22,0.26,1.01,5.61,3.92,3.18,4.97,15.62,6.54,6.71,12.73,5.71,9.7
f_0,0.85,0.44,1.2,1.14,1.26,1.09,4.1,5.63,4.07,5.14,7.62,16.72,7.43,5.99,14.88,6.46
h_0,0.96,1.57,1.12,0.97,0.92,1.04,1.41,3.89,4.28,3.86,5.94,5.57,2.68,5.67,7.1,9.58
a_0,1.15,1.11,1.47,1.24,0.74,,3.28,5.93,3.24,5.12,5.22,6.33,8.99,21.82,6.31,7.96
e_0,0.26,1.18,1.16,1.14,1.39,1.02,4.52,5.53,4.73,4.99,7.42,6.08,8.49,6.49,24.1,8.46
g_0,1.2,0.68,0.87,1.8,1.19,0.84,4.16,3.72,1.78,4.96,4.31,9.89,9.92,5.24,6.08,3.12
