,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,15.27,0.56,0.44,0.82,0.57,0.43,0.87,0.88,2.17,0.81,1.15,1.09,1.0,0.5,1.08,1.06
f_1,1.24,15.83,0.52,0.49,0.44,0.51,0.75,0.82,0.86,0.85,0.4,0.92,0.9,0.69,0.74,0.8
d_1,0.48,0.64,18.66,0.45,0.51,0.59,0.88,0.83,0.36,2.25,0.93,1.16,1.11,0.98,0.96,0.86
c_1,0.45,0.6,0.5,17.75,1.34,0.58,0.88,0.73,0.82,0.3,0.84,0.65,1.01,0.85,0.95,0.88
b_1,0.5,0.5,0.52,0.52,21.19,1.32,0.99,0.89,0.77,0.81,0.99,0.31,0.81,1.25,0.88,0.86
a_1,0.54,0.56,0.77,0.55,0.55,26.95,0.99,0.93,0.76,0.93,0.91,0.8,1.1,0.87,0.94,0.33
h_1,0.59,1.28,0.75,0.78,0.59,0.68,5.11,1.74,1.21,1.12,1.0,1.16,0.68,1.41,1.46,1.02
g_1,0.69,0.58,1.33,0.63,0.47,0.84,1.16,6.1,0.87,1.2,1.89,1.25,0.88,1.26,0.81,1.23
d_0,0.72,0.82,0.33,2.25,0.81,0.67,0.84,1.07,2.59,0.67,1.24,0.98,1.21,1.01,1.24,1.14
c_0,0.78,0.74,1.14,0.38,0.51,0.77,1.03,1.33,1.18,2.95,1.52,3.25,1.16,1.47,1.23,1.63
f_0,0.6,0.47,0.83,0.99,0.83,0.65,1.26,0.96,1.37,1.15,3.74,1.45,1.13,3.32,1.44,1.26
b_0,0.67,0.75,1.1,0.76,0.41,0.47,1.28,1.33,1.18,1.26,1.37,4.09,1.4,1.52,1.33,4.15
h_0,0.66,0.98,0.94,0.75,0.61,0.76,0.65,1.65,1.19,1.05,1.04,1.25,0.72,0.93,1.82,1.27
e_0,0.27,0.95,0.88,1.0,0.7,0.83,1.26,1.27,0.95,1.23,1.38,1.43,1.45,4.66,1.21,1.07
g_0,0.56,0.55,1.67,0.76,0.62,0.67,1.25,0.72,0.97,1.15,2.47,1.19,1.1,1.73,0.98,1.19
a_0,0.59,0.93,1.09,0.85,0.78,0.34,1.47,1.17,1.15,0.83,1.35,1.25,1.38,1.09,1.28,5.09
