,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,1.08,2.44,2.4,2.13,2.03,0.64,0.65,0.48,0.4,0.38,0.54,0.44,0.29,0.69,0.28
f_1,1.71,0.42,2.13,2.16,1.95,1.86,0.43,0.64,0.42,0.47,0.42,1.09,0.42,0.2,0.35,0.39
c_1,1.83,1.86,0.41,2.42,2.24,2.11,0.77,0.64,0.24,0.42,0.91,0.41,0.39,0.29,0.41,0.33
d_1,2.23,2.47,2.29,0.41,2.24,1.9,0.53,0.37,1.39,0.38,0.38,0.4,0.38,0.28,0.4,0.18
b_1,2.73,2.52,1.22,2.17,0.39,2.42,0.59,0.73,0.43,1.36,0.61,0.41,0.44,0.36,0.52,0.46
a_1,2.24,3.35,2.93,2.64,1.26,0.35,1.03,0.98,0.66,0.75,0.54,0.74,1.66,0.47,0.63,0.43
h_1,3.78,4.26,3.29,2.75,3.1,2.33,0.32,0.94,0.74,0.65,0.68,0.67,0.76,0.93,0.69,0.61
g_1,4.47,3.95,3.48,2.89,4.2,3.41,0.77,0.3,0.92,0.79,0.69,0.75,0.9,0.37,0.78,1.13
d_0,2.16,3.62,3.8,5.53,4.6,3.84,1.11,1.32,0.39,0.93,0.72,0.89,0.79,0.65,0.87,0.63
b_0,3.75,3.84,4.78,2.58,10.22,3.73,1.09,1.07,0.74,0.36,0.41,0.74,0.71,0.53,0.64,0.42
c_0,4.15,3.91,10.37,2.01,4.13,4.2,1.11,1.21,1.2,0.68,0.38,0.84,0.72,0.63,0.78,0.55
f_0,4.39,12.18,3.04,3.62,4.55,4.98,1.33,0.69,0.87,0.7,0.83,0.32,0.81,0.61,0.66,0.35
a_0,4.94,4.95,4.3,4.49,6.73,7.83,1.43,1.81,1.09,0.46,0.78,0.84,0.34,0.67,0.67,0.6
h_0,4.7,4.5,4.64,5.11,4.11,4.23,2.1,1.45,0.89,0.89,0.92,0.99,0.74,1.31,0.72,0.71
e_0,9.19,5.97,4.93,3.92,5.59,5.29,1.04,1.13,1.01,1.04,0.86,0.46,0.98,0.9,0.34,0.68
g_0,4.92,5.37,4.75,5.09,4.72,4.82,0.98,2.43,1.33,1.01,1.01,1.03,0.85,0.6,0.84,0.91
