,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.07,13.0,9.09,8.86,7.4,6.8,2.96,2.35,5.03,2.14,,2.45,1.98,1.74,1.97,2.17
e_1,5.51,1.07,6.91,13.45,11.94,8.27,3.05,3.13,3.33,2.9,2.95,2.66,1.75,2.07,,2.18
d_1,11.24,11.38,1.07,11.32,9.12,8.7,3.19,,2.08,5.29,2.49,2.29,2.25,1.86,2.62,1.38
c_1,9.61,9.47,9.61,1.07,12.44,8.76,3.99,2.0,3.61,,2.44,2.56,3.59,1.92,2.64,2.56
b_1,12.3,8.56,13.14,5.97,1.07,10.77,3.52,4.1,4.27,3.47,3.84,,2.84,2.19,2.58,2.46
a_1,16.94,14.45,15.16,16.54,8.0,1.07,6.42,5.56,4.24,5.82,4.12,6.05,,2.83,3.39,3.46
h_1,16.34,14.95,17.65,11.3,13.83,10.2,1.41,3.61,4.76,3.39,3.19,3.27,3.33,,3.04,3.06
d_0,14.72,9.89,,13.39,13.14,11.37,5.31,1.77,4.9,5.83,3.96,3.71,3.89,3.3,3.84,3.15
g_1,13.15,17.16,21.51,20.55,17.0,15.58,5.43,5.38,1.41,4.21,4.43,7.1,3.75,3.0,4.57,
c_0,16.82,14.17,7.43,,16.6,11.98,5.52,3.81,6.33,1.74,4.37,5.28,4.93,3.42,3.48,4.05
f_0,,17.87,17.36,17.45,12.36,17.31,8.22,4.58,5.67,4.13,1.77,5.46,3.64,3.68,3.75,2.21
b_0,17.06,18.07,16.71,19.03,,11.42,6.73,6.67,4.36,3.07,4.27,1.72,6.7,3.65,4.7,3.03
a_0,27.41,24.96,23.82,19.86,20.88,,8.66,5.98,7.33,5.06,6.65,3.06,1.8,,,4.42
h_0,19.11,14.87,20.58,17.66,17.39,18.66,,5.07,5.54,4.25,4.54,5.94,,,4.79,3.19
e_0,26.48,,20.5,18.33,17.8,19.48,10.02,5.39,9.18,7.98,4.51,7.27,,4.17,1.75,
g_0,17.06,21.91,20.67,18.03,20.43,18.33,5.25,6.06,,5.71,7.05,6.32,5.64,3.76,,
