,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.49,0.15,0.12,0.17,0.16,0.13,0.21,0.21,0.29,0.18,0.17,0.2,0.24,,0.19,0.2
d_1,0.2,1.5,0.18,0.15,0.16,0.17,0.19,0.19,,0.32,0.2,0.16,0.21,0.18,0.14,0.14
f_1,0.33,0.17,1.51,0.16,0.15,0.11,0.18,0.19,0.23,0.19,0.19,,0.15,0.12,0.16,0.2
c_1,0.16,0.18,0.17,1.56,0.25,0.13,0.19,0.23,0.21,,0.16,0.2,0.26,0.14,0.16,0.18
b_1,0.16,0.19,0.17,0.12,1.6,0.2,0.23,0.19,0.25,0.27,,0.2,0.22,0.13,,0.19
a_1,0.19,0.12,0.22,0.23,0.14,1.73,0.26,0.2,0.15,0.18,0.21,0.21,0.22,0.21,,0.25
h_1,0.35,0.39,0.54,0.34,0.38,0.28,1.66,0.6,0.45,0.49,0.31,0.29,,0.52,0.34,0.67
g_1,0.36,0.58,0.32,0.33,0.39,0.34,0.34,1.67,0.51,0.5,0.48,0.7,0.39,0.43,0.34,
d_0,0.51,,0.4,0.77,0.38,0.46,0.58,0.43,1.41,0.5,0.43,0.52,0.62,0.52,0.39,0.49
c_0,0.63,0.4,0.46,,0.33,0.36,0.48,0.53,0.46,1.46,0.74,0.7,0.71,0.39,0.41,0.48
b_0,0.41,0.52,0.6,0.5,,0.39,0.72,0.42,0.66,0.46,1.48,0.46,0.48,0.34,0.82,0.46
f_0,0.42,0.62,,0.4,0.48,0.35,0.71,0.26,0.68,0.43,0.57,1.51,0.71,0.66,0.48,0.5
h_0,0.39,0.53,0.9,0.46,0.52,0.53,,0.89,0.68,0.76,0.93,0.71,,0.58,0.5,0.78
e_0,,0.42,0.46,0.48,0.5,0.4,0.42,0.64,0.55,0.66,0.88,0.4,0.73,1.66,,0.71
a_0,0.45,0.55,0.55,0.45,,,0.54,0.5,0.71,0.62,0.53,0.64,0.62,,1.65,0.49
g_0,0.47,1.02,0.59,0.66,0.42,0.43,0.61,,0.68,0.65,0.64,0.93,0.98,0.63,0.61,
