,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.44,1.56,1.61,2.02,1.67,1.63,3.17,5.18,3.05,3.31,3.8,3.83,4.61,3.48,4.82,3.48
f_1,2.29,2.5,1.54,1.67,1.51,1.41,3.01,3.76,3.13,3.4,3.7,2.83,4.27,3.53,4.31,2.99
d_1,1.61,1.82,2.55,1.48,1.53,1.54,3.29,2.99,3.38,5.36,3.94,3.55,4.59,4.43,4.2,3.96
c_1,1.41,1.65,1.61,2.65,2.66,1.79,3.26,3.14,3.06,2.68,2.94,3.51,4.34,3.78,4.36,3.57
b_1,1.59,1.68,1.69,1.5,2.81,2.75,3.39,3.29,2.97,3.78,3.02,3.63,4.42,3.13,4.27,4.25
a_1,1.72,1.91,1.62,1.68,1.45,3.26,3.19,3.92,3.26,3.29,3.46,3.7,5.13,3.38,4.46,3.82
h_1,1.71,2.03,1.83,1.57,1.57,1.75,4.43,3.65,3.9,3.53,3.69,3.81,4.31,3.85,5.8,3.91
d_0,1.44,1.73,1.44,2.67,2.06,1.47,3.36,4.49,3.18,2.62,3.58,3.73,4.59,4.23,4.78,3.94
g_1,1.6,1.67,2.23,1.74,1.57,1.65,3.04,3.19,4.88,3.97,3.7,4.83,4.19,4.24,3.97,4.19
c_0,1.7,1.96,1.62,1.7,1.41,1.84,3.82,4.12,3.54,4.62,5.81,4.22,5.41,4.91,5.21,4.63
b_0,1.65,1.84,1.79,1.91,1.44,1.52,3.66,3.93,3.56,3.2,4.81,4.0,5.02,6.3,5.15,4.05
f_0,1.48,1.74,1.83,1.87,1.82,1.74,3.53,3.84,3.28,3.43,3.99,4.89,4.72,3.93,4.59,6.31
h_0,1.72,2.04,1.79,1.77,1.59,1.51,2.88,3.48,3.83,3.39,3.67,3.98,4.12,3.79,5.5,3.99
a_0,1.68,1.92,1.71,1.86,1.82,1.21,3.61,3.56,3.63,3.41,3.4,4.03,5.58,5.53,4.82,3.88
g_0,1.52,1.58,2.23,1.84,1.78,1.65,3.0,3.41,3.29,3.42,3.39,4.77,4.4,4.14,4.65,5.04
e_0,1.52,1.91,1.77,2.03,1.74,1.79,3.5,3.45,3.43,3.22,3.68,3.07,4.77,4.16,4.21,5.67
