,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.56,0.62,0.67,0.78,0.57,0.14,0.15,0.2,0.12,0.13,0.21,0.06,0.14,0.11,0.1
d_1,0.71,0.16,0.71,0.68,0.56,0.59,0.21,0.25,0.13,0.16,0.14,0.13,0.09,0.13,0.13,0.06
e_1,0.35,0.75,0.16,0.76,0.71,0.67,0.19,0.16,0.24,0.12,0.14,0.18,0.11,0.14,0.28,0.12
c_1,0.68,0.87,0.53,0.15,0.73,0.71,0.16,0.07,0.18,0.25,0.12,0.12,0.1,0.12,0.12,0.09
b_1,0.71,0.68,0.74,0.37,0.13,0.58,0.25,0.16,0.2,0.19,0.31,0.13,0.11,0.15,0.18,0.1
a_1,1.14,0.66,0.65,0.64,0.33,0.1,0.21,0.15,0.25,0.14,0.16,0.13,0.11,0.27,0.14,0.09
h_1,0.5,0.48,0.54,0.64,0.5,0.5,0.06,0.11,0.15,0.1,0.1,0.11,0.11,0.08,0.1,0.09
d_0,0.55,0.89,0.28,0.51,0.64,0.59,0.18,0.06,0.16,0.11,0.1,0.1,0.08,0.09,0.11,0.08
g_1,0.55,0.5,0.58,0.55,0.55,0.5,0.11,0.13,0.05,0.12,0.1,0.11,0.06,0.12,0.09,0.13
c_0,0.57,0.27,0.53,1.17,0.61,0.49,0.17,0.17,0.15,0.06,0.12,0.09,0.09,0.09,0.09,0.08
b_0,0.51,0.53,0.45,0.62,0.96,0.53,0.14,0.09,0.13,0.05,0.05,0.11,0.08,0.1,0.1,0.07
f_0,1.04,0.46,0.49,0.57,0.49,0.48,0.14,0.1,0.1,0.1,0.1,0.05,0.08,0.09,0.11,0.05
h_0,0.55,0.47,0.5,0.53,0.48,0.47,0.23,0.13,0.15,0.1,0.09,0.11,0.12,0.09,0.08,0.09
a_0,0.6,0.41,0.49,0.53,0.79,0.82,0.16,0.11,0.13,0.12,0.05,0.1,0.08,0.04,0.08,0.07
e_0,0.93,0.47,0.72,0.54,0.6,0.4,0.14,0.11,0.12,0.11,0.08,0.05,0.07,0.11,0.04,0.06
g_0,0.6,0.52,0.49,0.51,0.47,0.55,0.11,0.12,0.18,0.1,0.1,0.1,0.06,0.08,0.1,0.11
