,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.41,0.54,0.83,0.98,0.85,0.77,0.48,0.43,0.35,0.45,0.42,0.43,0.34,0.67,0.38,0.42
f_1,0.91,0.41,0.72,0.75,0.81,0.79,0.32,0.47,0.37,0.35,0.44,0.39,0.28,0.33,0.36,0.32
d_1,0.94,0.89,0.39,0.84,0.82,0.68,0.45,0.31,0.37,0.56,0.37,0.33,0.29,0.34,0.22,0.29
c_1,0.61,0.9,0.9,0.38,0.99,0.81,0.42,0.48,0.47,0.22,0.31,0.34,0.3,0.3,0.29,0.36
b_1,0.8,0.93,0.85,0.49,0.35,0.95,0.52,0.59,0.43,0.37,0.38,0.49,0.34,0.39,0.33,0.39
a_1,0.98,0.87,0.85,0.81,0.49,0.31,0.49,0.41,0.38,0.36,0.41,0.45,0.3,0.36,0.34,0.59
h_1,0.7,0.83,0.71,0.71,0.62,0.65,0.25,0.41,0.33,0.38,0.32,0.32,0.36,0.32,0.28,0.27
g_1,0.71,0.73,0.81,0.79,0.66,0.66,0.3,0.22,0.32,0.33,0.41,0.32,0.22,0.32,0.34,0.33
c_0,0.8,0.72,0.49,1.1,0.73,0.72,0.41,0.37,0.25,0.46,0.36,0.38,0.29,0.32,0.28,0.43
d_0,0.46,0.76,0.93,0.87,0.78,0.76,0.37,0.43,0.3,0.25,0.32,0.34,0.27,0.38,0.33,0.36
f_0,0.63,0.97,0.71,0.8,0.74,0.66,0.42,0.27,0.29,0.34,0.23,0.34,0.29,0.37,0.19,0.31
b_0,0.65,0.71,0.68,0.92,1.14,0.73,0.39,0.38,0.21,0.37,0.31,0.22,0.27,0.33,0.3,0.38
h_0,0.68,0.76,0.65,0.7,0.75,0.62,0.48,0.48,0.34,0.34,0.33,0.32,0.34,0.28,0.31,0.31
e_0,0.85,0.94,0.71,0.79,0.55,0.77,0.34,0.36,0.27,0.33,0.19,0.29,0.33,0.2,0.21,0.33
g_0,0.61,0.76,0.79,0.73,0.71,0.69,0.36,0.44,0.32,0.32,0.35,0.3,0.22,0.34,0.3,0.32
a_0,0.67,0.78,0.77,0.71,0.78,1.11,0.44,0.35,0.26,0.37,0.34,0.18,0.26,0.36,0.29,0.19
