,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.73,0.96,1.01,0.97,0.81,0.74,0.69,1.01,0.64,0.64,0.72,0.56,0.57,0.75,0.65
f_1,1.37,1.0,0.91,0.97,0.79,0.9,0.52,0.61,0.65,0.59,0.64,0.54,0.47,0.54,0.48,0.54
d_1,1.04,1.1,1.0,1.0,0.81,0.9,0.79,0.55,0.64,0.94,0.6,0.61,0.63,0.63,0.47,0.52
c_1,0.99,1.03,1.0,1.0,1.46,0.75,0.77,0.69,0.51,0.57,0.51,0.66,0.64,0.5,0.53,0.56
b_1,1.03,1.26,1.23,0.68,1.0,1.21,0.81,0.88,0.56,0.77,0.73,0.73,0.59,0.6,0.54,0.59
a_1,1.24,1.11,1.11,1.33,0.83,1.0,1.05,0.78,0.77,0.78,0.85,0.83,0.82,,0.65,0.63
h_1,1.28,1.95,1.29,1.31,1.24,0.96,1.0,1.08,0.99,0.86,0.89,0.88,1.06,0.8,0.88,0.69
g_1,1.46,1.59,1.79,1.52,1.14,1.23,0.9,1.0,0.93,0.78,0.89,1.06,0.83,0.9,0.84,0.8
d_0,0.95,1.66,1.59,2.01,1.77,1.26,0.98,1.11,1.0,0.89,1.01,0.81,1.08,0.85,1.0,0.72
c_0,1.58,1.75,1.11,1.67,1.29,1.23,1.11,1.3,1.14,1.0,1.51,0.81,1.16,0.87,1.01,0.9
b_0,1.54,1.57,1.63,2.23,1.18,1.0,1.12,1.15,0.94,0.65,1.0,0.93,0.92,1.28,0.8,0.86
f_0,1.42,1.82,1.65,1.61,1.43,1.13,1.2,0.94,1.26,1.24,1.06,1.0,0.96,1.05,0.83,1.31
h_0,1.73,2.13,1.56,1.65,1.53,1.21,0.92,1.26,0.92,0.89,1.06,0.98,1.0,0.86,1.25,0.79
a_0,1.69,1.77,1.52,2.16,1.61,,1.29,1.17,1.17,1.17,0.77,0.91,1.15,1.0,1.04,0.81
g_0,1.33,2.15,2.16,1.76,1.91,1.51,1.15,1.21,1.07,0.95,1.18,1.21,0.78,1.0,1.0,0.91
e_0,1.58,1.96,1.92,1.63,1.65,1.68,1.57,1.17,1.39,1.06,1.33,0.76,1.11,1.29,0.99,1.0
