,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.15,149.46,78.34,106.87,80.23,80.17,25.09,12.75,18.0,,17.94,15.15,12.91,8.02,14.32,11.47
e_1,80.18,1.15,47.88,84.37,72.0,71.26,39.43,33.8,16.65,18.22,21.93,15.62,13.3,12.45,18.84,
f_1,106.12,91.97,1.15,84.37,70.2,96.2,21.79,24.14,19.59,15.26,19.73,,8.61,10.94,18.84,22.93
c_1,109.33,87.49,76.6,1.15,112.32,80.17,29.57,30.73,,10.75,15.58,23.81,14.16,15.7,15.57,26.46
b_1,100.22,112.09,137.88,76.33,1.15,113.18,21.79,26.0,28.96,24.3,,26.32,12.91,18.05,,19.11
a_1,212.24,119.57,202.76,160.3,96.83,1.15,55.2,29.39,47.57,34.53,53.82,31.25,25.82,19.0,,
h_1,100.22,115.71,82.07,78.2,93.6,148.0,2.0,30.73,15.86,16.4,29.6,21.74,,12.03,16.27,15.64
g_1,116.39,128.11,265.15,114.5,140.4,148.0,17.62,2.0,26.64,32.8,21.93,29.41,9.54,,,
c_0,45.67,99.64,98.49,,112.32,91.62,17.62,33.8,3.06,26.24,20.41,14.71,12.54,11.65,23.87,21.5
d_0,,55.18,84.07,91.6,85.09,113.18,30.67,30.73,22.2,2.92,13.77,19.23,12.54,15.04,29.83,17.2
b_0,97.51,99.64,118.86,213.73,,120.25,31.85,20.48,10.09,22.62,2.85,21.74,13.3,20.06,27.54,
f_0,138.77,128.11,,178.11,133.71,106.89,37.64,22.53,28.96,23.43,23.68,2.99,23.11,8.6,21.06,21.5
h_0,88.0,94.39,82.07,69.7,87.75,83.65,,42.25,17.53,17.73,20.41,16.13,,15.7,,17.2
g_0,92.51,112.09,172.35,118.74,117.0,120.25,20.7,,22.2,22.62,23.68,27.78,11.86,,,31.27
a_0,277.54,199.28,191.5,128.24,,,48.71,,30.27,31.24,16.44,27.78,,,2.93,
e_0,277.54,,181.42,128.24,200.57,,55.2,,28.96,41.0,,22.73,17.56,22.56,,2.87
