,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.53,0.61,1.21,0.63,0.59,0.37,0.94,0.88,0.82,0.81,0.99,0.4,0.81,0.77,0.52,0.84
d_1,0.77,2.73,0.57,0.5,0.62,0.64,0.94,0.45,0.98,1.77,0.98,0.98,1.04,1.21,1.11,0.95
e_1,0.69,0.61,2.65,0.81,0.57,0.64,0.87,1.67,0.83,0.86,1.03,1.07,0.97,0.88,0.61,0.91
c_1,0.64,0.65,0.56,2.89,1.13,0.67,0.72,0.92,0.85,0.37,0.78,0.88,0.94,0.93,0.78,0.95
b_1,0.54,0.78,0.6,0.58,3.18,1.26,0.92,0.78,0.79,0.81,0.38,0.89,1.03,0.61,0.87,1.05
a_1,0.76,0.72,0.63,0.59,0.72,4.21,0.88,0.89,0.91,0.92,0.82,0.99,1.01,0.53,1.23,0.85
h_1,1.03,0.77,0.77,0.97,0.63,0.74,2.77,0.96,1.55,1.03,1.22,1.16,0.73,1.03,1.17,1.57
d_0,0.78,0.51,0.65,1.68,0.76,0.71,1.16,1.98,0.95,0.78,1.41,1.33,1.04,1.21,1.24,1.09
g_1,0.75,1.23,0.63,0.88,0.72,0.62,1.15,0.96,3.26,1.08,1.19,1.79,1.2,1.36,1.37,0.91
c_0,0.88,0.73,0.88,0.56,0.56,0.84,1.19,1.25,1.13,2.24,2.61,1.4,1.25,1.25,1.32,1.36
b_0,0.84,0.83,0.78,0.97,0.43,0.66,1.27,1.2,1.27,1.05,2.43,1.22,1.5,2.6,1.62,1.33
f_0,0.58,0.86,0.59,0.92,0.88,0.9,1.09,1.19,1.17,1.35,1.15,2.62,1.13,1.25,2.73,1.24
h_0,1.25,0.8,0.73,0.83,0.67,0.63,0.83,1.13,1.57,0.98,1.01,1.16,0.76,1.13,1.26,1.51
a_0,0.73,0.86,0.74,0.84,0.83,0.48,1.48,1.27,1.02,1.4,1.24,1.53,1.58,3.19,1.33,1.56
e_0,0.99,0.8,0.43,0.97,0.69,0.84,1.36,1.13,1.42,1.28,1.34,1.17,1.55,1.65,3.49,1.14
g_0,0.73,1.16,0.61,0.85,0.74,0.87,0.93,0.99,0.69,1.17,1.21,1.87,0.96,1.3,1.54,0.81
