,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.14,10.41,10.09,10.94,11.77,9.18,2.31,2.89,1.97,2.14,2.37,8.21,1.43,2.46,1.62,3.02
d_1,13.05,1.14,11.57,12.06,10.23,10.62,3.44,2.14,2.24,17.26,1.88,2.24,1.44,2.41,1.17,1.95
e_1,6.82,13.73,1.14,11.92,14.06,9.38,3.31,4.2,2.64,2.63,2.44,2.65,1.51,2.17,2.14,6.3
c_1,11.94,15.85,12.54,1.14,10.45,17.9,3.5,4.02,11.87,1.35,2.48,2.57,1.75,2.79,1.74,2.76
b_1,13.78,14.23,17.21,7.55,1.14,15.81,4.01,4.02,3.63,3.21,15.56,2.62,2.56,3.07,2.22,2.94
a_1,21.74,19.05,20.47,18.27,10.61,1.15,5.63,5.75,3.73,3.78,6.3,4.62,2.43,14.84,2.8,2.78
h_1,27.06,22.5,26.62,30.51,25.11,24.61,1.9,7.95,5.4,5.75,4.64,4.58,9.95,5.15,3.75,4.84
g_1,43.49,29.55,30.09,40.68,35.15,30.94,7.77,1.93,5.94,5.54,5.45,5.39,3.91,6.4,8.67,5.79
c_0,32.91,17.44,32.64,101.7,52.07,41.65,9.54,9.91,2.58,8.63,6.78,6.99,4.7,7.89,4.49,6.66
d_0,33.82,116.23,19.22,35.89,42.61,42.47,13.3,14.25,7.34,2.77,7.05,7.28,6.53,8.07,5.35,10.38
b_0,45.1,32.59,43.8,64.91,133.9,35.51,10.45,9.63,3.98,6.64,2.74,6.46,5.36,9.51,6.74,7.51
f_0,98.73,33.85,38.02,45.54,50.21,67.69,11.55,7.77,7.34,7.55,7.15,2.61,6.63,6.87,4.0,7.06
h_0,52.19,50.54,43.8,61.02,58.58,48.13,46.21,14.55,9.89,11.84,8.53,10.34,22.0,8.63,8.67,9.54
a_0,67.65,52.04,62.91,70.95,74.0,108.3,18.29,14.87,11.26,15.49,5.04,11.75,8.2,2.65,7.58,10.7
g_0,74.55,49.11,64.07,59.82,68.59,60.17,14.16,40.24,12.8,13.13,12.02,10.14,6.24,10.03,21.41,9.54
e_0,73.06,52.83,182.11,54.48,52.07,74.69,17.56,20.73,12.09,10.24,11.02,5.94,8.89,16.86,7.74,2.76
