,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.44,0.73,0.5,0.81,0.65,0.58,0.81,1.68,0.87,0.92,1.04,1.02,1.14,1.13,0.49,0.85
f_1,1.14,2.53,0.6,0.64,0.49,0.56,1.02,0.87,0.93,0.75,0.96,0.45,0.81,0.86,0.74,1.01
d_1,0.65,0.67,2.89,0.44,0.63,0.62,0.92,0.34,1.75,0.94,0.98,1.0,0.99,1.05,0.93,1.0
c_1,0.6,0.57,0.61,3.03,1.3,0.57,0.73,0.89,0.26,0.74,0.76,0.86,0.91,0.71,1.0,0.89
b_1,0.52,0.66,0.64,0.72,3.34,1.24,0.83,0.92,0.86,1.07,0.54,0.94,0.93,0.72,1.01,0.82
a_1,0.66,0.81,0.71,0.68,0.54,4.3,0.99,1.0,0.76,0.61,0.9,0.85,0.95,0.37,1.11,1.04
h_1,0.67,1.15,0.92,0.69,0.67,0.62,2.68,0.93,1.19,1.45,1.23,1.2,0.77,1.27,0.94,1.47
d_0,0.78,0.84,0.49,1.52,0.8,0.72,0.97,1.87,0.76,1.01,1.06,1.12,1.29,1.07,1.05,1.12
c_0,0.8,0.99,0.98,0.45,0.62,0.92,1.32,0.91,2.08,1.11,1.97,1.2,1.18,1.34,1.3,1.26
g_1,0.58,0.61,1.52,0.72,0.6,0.79,1.15,0.91,1.03,3.44,1.06,1.94,1.07,0.86,1.56,0.76
b_0,0.81,0.84,0.9,0.8,0.43,0.7,1.23,1.11,1.25,1.18,2.24,1.29,1.33,2.52,1.3,1.27
f_0,0.62,0.52,0.98,0.97,0.69,0.82,1.22,1.1,1.35,1.34,1.27,2.55,1.46,1.31,2.78,1.33
h_0,0.76,1.05,0.86,0.85,0.77,0.68,0.87,1.15,1.15,1.6,1.08,1.2,0.72,1.14,1.28,1.42
a_0,0.84,0.96,0.96,0.81,0.62,0.28,1.33,0.95,1.12,1.29,1.15,1.51,1.3,3.17,1.07,1.46
e_0,0.37,0.74,0.99,0.71,0.95,0.83,1.44,1.11,1.27,1.33,1.52,1.45,1.28,1.38,3.36,1.31
g_0,0.69,0.64,1.27,0.75,0.82,0.71,1.06,0.8,1.24,0.87,1.17,1.83,1.15,1.64,1.38,0.78
