,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,103.2,17.5,18.07,17.0,25.34,75.36,1708.73,3469.41,4723.65,5287.46,7114.72,,22636.87,19794.53,21275.44,31371.0
e_1,11.48,110.7,16.07,13.81,28.62,60.98,1960.9,3961.44,6621.45,5180.05,7411.58,8558.47,15393.0,18092.73,,34259.61
c_1,9.77,9.84,131.39,17.9,31.24,92.34,1765.96,3501.28,3943.61,,7204.33,8221.38,18775.12,12590.05,27138.0,33513.58
d_1,12.39,11.13,12.28,134.66,27.22,68.65,1454.13,2928.09,,7136.19,7993.82,7800.29,21090.83,17370.0,26619.44,19710.86
b_1,9.3,8.58,12.21,11.05,192.97,105.53,1399.05,3025.36,4066.75,5068.58,,7657.36,13166.05,16250.9,19245.72,31219.97
a_1,5.81,9.28,6.11,10.53,9.29,511.88,1146.51,2101.99,2909.29,2904.3,3704.78,4707.97,9628.29,,14899.04,15429.71
h_1,6.41,5.2,6.34,8.66,12.97,28.93,2892.31,1950.83,2328.58,2569.54,3051.16,3448.1,,8390.37,12372.73,23269.79
g_1,3.51,2.95,5.71,7.87,9.52,24.19,602.48,5512.23,1629.81,1583.03,2554.57,5511.22,5234.78,,10722.22,
d_0,4.65,5.6,9.15,,8.84,25.82,696.01,1468.46,4863.56,2211.1,2300.42,4492.19,8925.13,6067.65,7890.93,15914.11
c_0,4.74,5.33,,5.57,7.46,35.04,740.05,1636.36,1654.38,5244.93,4203.52,2884.45,9274.34,7297.57,9385.63,13640.25
b_0,3.97,4.93,5.22,4.6,,26.92,560.92,1480.28,1689.34,1642.69,6589.07,3897.11,7648.94,10050.34,10478.39,15044.03
f_0,,3.26,6.59,5.47,7.11,29.66,647.33,1219.47,1820.22,2116.95,1339.32,8395.55,6743.03,,12173.02,10021.8
h_0,4.53,5.13,5.56,4.44,7.36,24.52,,1760.72,1606.68,1447.34,2226.79,2658.83,,6380.22,6973.53,14713.91
a_0,3.15,3.38,4.66,4.07,7.96,,474.85,,1109.11,1246.95,1826.07,,4740.41,15944.76,,6546.57
e_0,2.85,,3.15,3.41,6.36,19.77,406.54,756.04,1384.37,1444.21,1530.66,1990.07,5085.22,,20020.85,7125.9
g_0,3.53,3.54,3.78,6.99,5.92,24.81,431.38,,1307.49,1265.51,1218.8,2655.61,5367.8,5218.21,8021.09,
