,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.46,18.55,37.29,36.65,37.02,27.69,7.88,6.05,11.28,7.68,6.53,9.26,4.88,3.6,,4.26
f_1,37.16,0.45,38.44,34.68,28.45,34.66,5.53,6.85,13.29,5.7,5.52,,7.03,2.8,7.84,7.15
d_1,39.77,33.09,0.43,42.95,26.03,38.95,8.78,,5.66,6.78,7.22,5.88,9.16,5.31,4.85,3.1
c_1,32.55,37.89,41.02,0.42,32.84,32.63,8.58,3.79,11.33,,8.23,7.13,6.34,5.59,7.38,4.33
b_1,32.56,38.56,38.17,21.88,0.39,37.51,9.53,8.54,13.02,9.12,,9.21,10.12,5.88,5.89,
a_1,56.24,56.24,52.19,33.24,24.29,0.32,11.55,9.59,,10.12,,11.34,,5.55,5.97,8.41
h_1,17.74,17.67,14.54,21.07,16.53,17.81,0.38,4.0,4.41,3.17,2.5,3.56,2.73,,4.6,2.86
d_0,8.3,17.57,,14.31,14.33,20.58,5.5,0.49,4.66,3.38,2.41,2.68,3.81,1.72,3.52,3.03
g_1,20.31,21.3,22.14,24.03,25.44,,6.21,2.98,0.33,3.75,3.86,4.45,3.8,2.42,4.6,
c_0,19.15,13.2,8.29,,19.38,16.67,4.35,3.87,3.59,0.47,3.46,2.69,3.7,2.45,3.42,2.41
b_0,16.87,17.54,18.02,20.08,,,4.2,2.64,4.43,2.01,0.45,4.06,,2.84,3.2,2.07
f_0,20.18,,18.43,22.88,15.85,16.68,5.62,4.64,3.31,3.03,3.21,0.45,2.82,2.69,3.69,1.18
a_0,27.98,17.04,21.08,19.23,24.42,,4.97,3.9,5.71,5.07,,3.21,0.37,3.07,3.68,
h_0,13.67,12.6,12.36,11.17,12.78,16.06,,2.62,2.7,2.64,3.16,2.09,2.82,,2.22,1.77
e_0,,34.28,14.77,18.82,20.13,15.36,5.34,5.01,4.7,4.46,5.53,1.93,4.26,3.76,0.38,2.91
g_0,11.82,19.35,13.62,9.93,,16.92,3.92,3.48,,2.58,4.23,2.38,,1.23,2.51,
