,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.42,0.67,1.16,1.57,1.31,1.13,0.36,0.4,0.28,0.24,0.33,0.25,0.17,0.37,0.2,0.26
f_1,1.18,0.42,1.08,1.21,1.16,1.05,0.26,0.43,0.27,0.23,0.37,0.24,0.13,0.25,0.2,0.21
d_1,1.5,1.3,0.41,1.25,1.1,1.16,0.3,0.23,0.47,0.21,0.21,0.24,0.17,0.24,0.11,0.21
c_1,0.95,1.4,1.64,0.41,1.16,1.23,0.34,0.3,0.13,0.3,0.23,0.25,0.18,0.24,0.19,0.23
b_1,1.23,1.27,1.45,0.78,0.39,1.23,0.4,0.41,0.27,0.39,0.28,0.43,0.22,0.31,0.23,0.32
a_1,1.76,2.03,1.71,1.39,0.84,0.33,0.49,0.5,0.35,0.39,0.32,0.37,0.25,0.29,0.23,0.48
h_1,2.16,2.25,1.85,2.35,2.32,1.78,0.3,0.64,0.48,0.45,0.44,0.45,0.39,0.38,0.3,0.37
g_1,2.28,2.59,2.33,2.41,2.32,2.14,0.51,0.29,0.47,0.42,0.57,0.47,0.26,0.42,0.39,0.4
d_0,1.47,2.71,3.78,2.44,2.54,2.36,0.78,0.79,0.34,0.49,0.55,0.55,0.34,0.59,0.45,0.51
c_0,2.58,2.49,1.51,4.39,2.98,2.13,0.68,0.67,0.77,0.32,0.57,0.54,0.43,0.53,0.34,0.5
f_0,2.45,3.49,2.39,2.62,3.17,2.25,0.71,0.44,0.5,0.45,0.31,0.51,0.36,0.5,0.22,0.47
b_0,2.45,2.51,2.0,3.61,4.74,2.34,0.69,0.67,0.66,0.29,0.59,0.31,0.41,0.51,0.37,0.44
h_0,2.88,2.99,3.1,3.21,2.68,2.66,1.05,0.78,0.61,0.57,0.69,0.53,0.57,0.63,0.45,0.48
e_0,3.94,5.04,2.61,2.95,3.03,2.67,1.02,0.67,0.72,0.59,0.32,0.57,0.48,0.27,0.36,0.46
g_0,3.26,3.92,2.57,3.71,3.55,2.61,0.65,0.91,0.71,0.61,0.6,0.63,0.37,0.66,0.49,0.62
a_0,2.99,3.38,2.76,3.34,4.46,4.67,0.91,0.9,0.72,0.6,0.62,0.35,0.45,0.73,0.5,0.29
