,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.81,0.92,1.3,1.74,1.24,1.07,5.12,11.22,4.26,5.79,6.91,7.26,9.26,7.64,4.47,8.03
d_1,1.19,6.16,1.44,1.07,1.24,1.21,4.78,2.81,4.95,11.62,7.09,7.85,9.34,6.15,7.09,11.51
f_1,2.12,1.26,6.22,1.26,1.29,1.11,4.04,5.77,3.95,5.35,6.98,2.12,10.59,7.36,4.81,7.85
c_1,1.12,1.26,1.36,6.66,2.45,1.12,4.58,6.43,4.13,1.55,4.74,5.3,7.42,6.28,5.86,9.99
b_1,1.16,1.38,1.44,1.07,7.61,2.9,4.49,5.26,5.13,5.73,2.24,5.89,9.17,4.12,6.02,7.78
a_1,1.44,1.34,1.36,1.49,1.13,10.96,4.37,4.47,4.64,6.18,5.44,5.51,8.86,2.34,5.62,8.72
h_1,1.27,1.83,2.23,1.55,1.54,1.41,15.66,6.49,7.08,6.35,8.48,5.89,5.52,8.08,7.86,13.49
d_0,1.6,0.73,1.56,3.18,1.49,1.53,6.52,14.45,5.47,4.95,9.05,5.7,11.85,8.66,6.69,10.93
g_1,1.29,2.45,1.18,1.7,1.32,1.45,5.64,6.23,19.06,6.61,7.11,14.14,8.37,7.04,8.26,6.57
c_0,1.44,2.08,1.91,0.69,1.23,1.49,5.78,8.07,5.9,16.29,15.41,8.58,14.25,9.07,8.67,12.2
b_0,1.7,1.82,1.74,1.85,0.71,1.03,6.46,8.2,5.83,6.58,17.5,7.69,13.46,17.65,7.83,10.42
f_0,1.56,2.0,0.85,1.6,1.5,1.68,6.46,7.02,7.39,8.58,9.13,19.39,10.6,10.22,18.53,11.97
h_0,1.52,2.0,1.94,1.91,1.1,1.56,3.36,7.32,7.79,6.69,6.73,7.32,6.89,8.84,8.05,17.05
a_0,1.51,1.86,1.66,1.86,1.69,0.52,6.36,6.91,7.48,7.1,7.15,8.36,14.33,22.18,9.25,9.41
e_0,0.86,1.95,1.77,1.54,1.55,1.26,7.17,9.33,6.93,7.36,8.92,7.51,14.96,10.3,26.93,15.9
g_0,1.16,2.76,1.66,1.46,1.51,1.39,5.96,6.81,3.86,8.71,8.58,10.57,11.7,8.17,9.0,7.01
