,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.2,2.09,1.85,1.91,1.63,0.65,0.8,0.66,0.52,0.55,0.81,0.36,0.51,0.43,0.47
e_1,1.45,1.06,2.63,2.07,2.13,1.52,0.84,1.08,0.74,0.64,0.6,0.76,0.48,0.53,0.77,0.5
c_1,2.28,1.77,1.06,2.62,2.3,2.0,0.81,0.77,0.42,0.7,0.58,0.53,0.48,0.58,0.59,0.44
d_1,2.3,2.57,1.91,1.06,2.25,1.56,0.8,0.56,0.9,0.71,0.7,0.65,0.54,0.62,0.67,0.35
b_1,2.73,2.48,1.62,2.27,1.07,2.88,1.0,0.89,0.83,0.99,1.07,0.73,0.6,0.59,0.64,0.61
a_1,4.15,3.89,3.3,3.56,1.82,1.07,1.59,1.19,0.91,0.89,1.15,0.83,0.81,1.08,0.73,0.69
h_1,6.13,5.35,5.61,5.3,4.64,3.83,1.31,2.09,1.58,1.47,1.69,1.3,1.86,1.36,1.22,1.48
g_1,7.22,5.67,6.42,7.06,6.16,5.55,2.05,1.33,2.01,2.07,1.82,2.07,1.23,2.26,1.59,1.47
d_0,7.0,4.18,8.43,9.34,6.12,6.16,2.62,2.6,1.55,1.82,2.02,1.7,1.71,2.07,1.64,1.69
c_0,7.37,7.01,11.18,4.27,6.14,5.85,2.85,2.41,2.67,1.55,2.28,1.9,1.84,2.12,2.08,1.51
b_0,7.45,7.0,9.33,5.65,10.78,5.9,2.79,2.46,2.11,1.29,1.5,2.39,1.76,2.26,2.05,1.85
f_0,10.7,7.04,8.88,7.57,7.08,6.85,3.07,1.87,2.31,2.36,2.34,1.5,1.83,2.12,2.27,1.29
h_0,10.26,9.49,8.17,8.37,9.23,7.96,3.97,3.45,2.45,2.42,2.13,2.43,2.42,2.0,1.73,1.97
a_0,10.39,9.98,9.88,8.02,9.29,10.32,3.69,2.81,2.85,2.37,1.64,3.3,2.14,1.57,2.22,1.96
e_0,14.25,13.38,9.93,9.12,8.9,9.1,4.0,2.91,3.01,2.56,2.71,1.64,3.08,3.67,1.55,1.98
g_0,10.09,10.13,11.08,10.94,9.43,12.42,2.84,4.37,2.68,2.96,2.65,2.98,1.82,2.82,2.45,2.81
