,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.06,2.53,1.56,2.56,2.15,1.65,0.87,0.96,0.67,1.11,0.72,0.69,0.5,0.62,0.99,0.69
d_1,2.73,1.05,2.52,2.48,2.08,1.91,0.86,1.42,0.72,0.55,0.69,0.57,0.51,0.33,0.62,0.54
f_1,2.44,2.35,1.06,2.4,1.86,1.98,0.72,0.61,0.67,0.89,0.62,0.99,0.43,0.67,0.61,0.62
c_1,1.96,2.72,2.19,1.06,3.13,1.9,0.88,0.43,0.92,0.76,0.64,0.73,0.55,0.47,0.58,0.5
b_1,2.68,2.8,3.57,1.47,1.07,3.9,1.0,0.84,0.88,1.02,1.1,0.64,0.7,0.6,0.63,0.58
a_1,4.74,3.66,3.17,4.34,1.84,1.07,1.51,1.18,1.06,1.76,1.43,1.12,0.88,0.81,0.79,1.34
h_1,6.1,6.34,7.0,5.62,6.13,4.24,1.34,1.86,1.9,2.22,1.52,1.49,1.86,1.23,1.47,1.47
d_0,3.9,9.61,7.92,9.31,7.28,5.59,2.74,1.5,1.95,2.64,2.24,1.8,1.59,1.58,1.96,1.63
c_0,7.25,4.44,7.86,11.39,7.27,5.78,2.84,2.89,1.52,2.49,2.44,2.02,1.61,1.59,1.92,1.67
g_1,6.57,7.74,7.48,7.52,6.73,5.37,2.3,2.32,2.47,1.35,2.48,2.46,1.28,1.89,1.88,1.63
b_0,7.72,6.57,9.0,9.47,11.27,5.42,3.0,2.19,1.42,2.5,1.48,1.99,1.84,1.81,1.69,2.0
f_0,7.84,7.72,13.57,8.69,9.06,6.27,3.27,2.87,2.42,1.97,2.37,1.56,1.96,1.38,2.01,1.84
h_0,9.37,9.31,9.27,10.24,8.97,8.57,4.61,3.08,2.86,4.56,2.67,2.6,2.96,2.24,1.84,2.03
g_0,8.58,12.87,12.25,12.42,10.23,9.41,3.63,3.75,3.26,4.68,2.92,2.93,2.07,3.37,2.45,2.42
e_0,14.84,8.23,13.66,11.51,13.59,10.42,4.08,3.89,3.24,3.27,3.65,2.2,2.96,2.64,1.58,2.31
a_0,10.95,10.83,12.87,13.69,13.11,14.58,4.46,3.49,3.41,4.53,2.18,3.58,3.18,2.93,3.43,1.7
