,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.14,0.83,0.93,0.86,0.61,0.4,0.42,0.37,0.44,0.36,0.34,0.3,0.3,0.25,0.29
e_1,0.9,1.0,0.86,1.05,0.93,0.74,0.52,0.6,0.39,0.44,0.44,0.44,0.37,0.32,0.34,0.35
d_1,1.19,1.15,1.0,0.91,0.93,0.69,0.49,0.49,0.6,0.39,0.45,0.39,0.38,0.38,0.33,0.28
c_1,1.08,0.96,1.08,1.0,1.21,0.81,0.48,0.33,0.4,0.39,0.33,0.39,0.37,0.34,0.34,0.33
b_1,1.14,1.08,1.07,0.83,1.0,1.14,0.58,0.46,0.52,0.49,0.5,0.43,0.42,0.31,0.34,0.39
a_1,1.57,1.32,1.43,1.21,0.92,1.0,0.76,0.59,0.61,0.66,0.57,0.49,0.46,0.49,0.42,0.4
h_1,2.47,1.93,2.04,2.05,1.7,1.22,1.0,0.82,0.83,1.01,0.8,0.68,0.68,0.69,0.62,0.67
d_0,2.35,1.71,1.99,3.02,2.34,1.64,1.19,1.0,0.85,1.07,0.85,0.97,0.86,0.77,0.81,0.78
c_0,2.67,2.64,1.7,2.48,1.92,1.72,1.2,1.12,1.0,1.05,1.29,0.8,0.9,0.96,0.74,0.74
g_1,2.41,2.26,2.78,2.44,2.09,1.5,0.99,0.9,0.98,1.0,0.94,1.02,0.75,0.71,0.71,0.74
b_0,2.81,2.31,2.18,2.83,2.1,1.82,1.23,1.13,0.8,1.04,1.0,0.78,0.91,1.07,0.71,0.69
f_0,2.83,2.24,2.64,2.62,2.5,1.97,1.45,1.07,1.25,0.97,1.18,1.0,0.93,1.01,1.25,0.75
h_0,3.29,2.72,2.69,2.73,2.42,2.12,1.42,1.12,1.07,1.36,1.15,1.07,0.99,0.82,0.8,1.01
a_0,3.34,3.1,2.59,2.86,3.02,2.01,1.41,1.17,1.08,1.39,0.99,1.0,1.26,0.99,0.78,0.92
e_0,3.76,2.91,2.95,3.12,3.04,2.51,1.6,1.18,1.33,1.41,1.35,0.75,1.26,1.15,1.0,0.97
g_0,3.45,2.93,3.5,3.1,2.57,2.27,1.49,1.25,1.37,1.35,1.43,1.34,0.98,1.12,1.05,1.0
