,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.91,0.57,0.3,0.29,0.23,0.14,0.26,0.2,0.25,0.27,0.22,0.12,0.25,0.15,0.09,0.21
e_1,0.39,0.91,0.25,0.37,0.25,0.16,0.27,0.17,0.24,0.51,0.25,0.2,0.3,0.2,0.12,0.23
d_1,0.4,0.33,0.91,0.22,0.23,0.18,0.28,0.26,0.52,0.18,0.3,0.24,0.29,0.2,0.15,0.23
c_1,0.33,0.3,0.3,0.9,0.47,0.21,0.24,0.23,0.18,0.25,0.18,0.21,0.27,0.16,0.16,0.19
b_1,0.36,0.28,0.28,0.33,0.9,0.35,0.26,0.22,0.26,0.26,0.18,0.21,0.29,0.13,0.15,0.2
a_1,0.38,0.31,0.35,0.3,0.26,0.89,0.32,0.27,0.27,0.26,0.26,0.22,0.27,0.13,0.18,0.22
h_1,0.55,0.36,0.31,0.32,0.23,0.17,0.62,0.34,0.31,0.27,0.31,0.22,0.26,0.22,0.19,0.3
g_1,0.33,0.32,0.55,0.27,0.26,0.21,0.25,0.61,0.38,0.19,0.32,0.38,0.31,0.22,0.2,0.21
c_0,0.48,0.39,0.4,0.26,0.21,0.16,0.33,0.25,0.5,0.31,0.53,0.28,0.34,0.25,0.2,0.27
d_0,0.43,0.36,0.23,0.59,0.3,0.16,0.31,0.22,0.21,0.48,0.32,0.2,0.35,0.19,0.16,0.22
b_0,0.46,0.39,0.39,0.35,0.16,0.16,0.34,0.26,0.3,0.28,0.51,0.23,0.32,0.37,0.18,0.25
f_0,0.3,0.33,0.37,0.31,0.29,0.22,0.31,0.28,0.31,0.38,0.35,0.51,0.36,0.25,0.44,0.29
h_0,0.55,0.41,0.37,0.29,0.3,0.18,0.17,0.3,0.27,0.25,0.26,0.21,0.22,0.2,0.17,0.28
a_0,0.47,0.37,0.36,0.35,0.32,0.13,0.33,0.21,0.32,0.31,0.29,0.22,0.36,0.43,0.14,0.24
e_0,0.45,0.27,0.41,0.34,0.28,0.15,0.31,0.31,0.29,0.34,0.32,0.28,0.32,0.3,0.47,0.24
g_0,0.35,0.34,0.54,0.33,0.28,0.17,0.26,0.19,0.31,0.27,0.29,0.34,0.31,0.21,0.22,0.18
