,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.35,1.04,1.27,1.49,2.27,16.54,21.79,23.13,29.51,31.73,39.29,58.06,62.73,70.87,114.51
e_1,0.74,1.0,1.27,1.29,1.4,3.12,17.15,23.07,33.35,28.47,29.38,46.11,70.04,79.79,86.58,122.7
d_1,0.96,0.79,1.0,0.92,1.08,2.0,15.48,24.69,18.64,15.36,23.36,33.02,55.65,63.17,73.76,78.7
c_1,0.79,0.78,1.09,1.0,1.67,1.8,12.04,16.01,13.74,18.17,18.31,30.78,52.75,55.18,65.19,65.68
b_1,0.67,0.71,0.93,0.6,1.0,2.7,13.13,15.9,18.0,19.71,21.53,23.26,36.24,58.53,48.08,85.84
a_1,0.44,0.32,0.5,0.56,0.37,1.0,7.34,9.15,9.93,8.87,10.75,13.11,21.16,29.47,36.33,43.21
h_1,0.06,0.06,0.06,0.08,0.08,0.14,1.0,1.42,1.42,1.98,1.7,2.3,3.87,5.11,4.59,6.74
c_0,0.05,0.04,0.04,0.06,0.06,0.11,0.72,1.0,1.11,1.12,1.72,1.48,3.3,3.18,3.39,4.7
d_0,0.04,0.03,0.06,0.08,0.06,0.1,0.67,0.87,1.0,1.09,1.2,1.76,2.23,2.88,3.87,4.66
g_1,0.03,0.03,0.07,0.06,0.05,0.11,0.51,0.85,0.93,1.0,1.09,1.85,2.67,2.95,3.07,4.38
b_0,0.03,0.03,0.04,0.06,0.05,0.09,0.56,0.59,0.86,0.98,1.0,1.46,3.43,2.69,2.66,3.79
f_0,0.02,0.02,0.03,0.03,0.05,0.07,0.44,0.66,0.59,0.51,0.67,1.0,1.63,2.07,3.06,2.39
a_0,0.02,0.01,0.02,0.02,0.03,0.05,0.26,0.31,0.47,0.34,0.3,0.58,1.0,1.33,1.35,1.93
h_0,0.02,0.01,0.02,0.02,0.02,0.03,0.19,0.3,0.35,0.33,0.38,0.49,0.75,1.0,1.0,1.75
e_0,0.02,0.01,0.01,0.01,0.02,0.03,0.23,0.3,0.26,0.32,0.38,0.31,0.82,0.98,1.0,1.39
g_0,0.01,0.01,0.01,0.02,0.01,0.02,0.15,0.19,0.21,0.23,0.26,0.39,0.52,0.56,0.69,1.0
