,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,1.54,1.17,1.46,1.13,1.18,0.53,0.76,0.64,0.6,0.51,1.04,0.52,0.38,0.51,0.56
e_1,0.83,0.4,1.17,1.28,1.52,1.41,0.75,0.8,0.59,0.72,0.55,0.64,0.74,0.55,1.69,0.49
d_1,1.39,1.75,0.4,1.23,1.15,1.15,0.64,0.46,0.62,1.16,0.61,0.55,0.49,0.48,0.56,0.33
c_1,1.32,1.18,1.43,0.4,1.43,1.29,0.68,0.55,1.03,0.38,0.57,0.52,0.56,0.53,0.53,0.53
b_1,1.52,1.1,1.46,0.78,0.38,1.61,0.71,0.84,0.66,0.58,1.09,0.63,0.62,0.59,0.75,0.54
a_1,1.25,1.28,1.28,1.4,0.9,0.31,1.0,0.89,0.54,0.61,0.71,0.56,1.23,0.53,0.66,0.51
h_1,1.13,0.86,0.93,1.12,1.0,0.91,0.25,0.66,0.42,0.34,0.48,0.38,0.41,0.55,0.33,0.37
g_1,0.93,1.06,1.04,1.29,1.01,0.87,0.37,0.23,0.34,0.47,0.45,0.41,0.42,0.26,0.41,0.49
c_0,1.07,0.94,0.59,2.23,1.02,0.96,0.45,0.68,0.26,0.48,0.5,0.39,0.43,0.35,0.45,0.38
d_0,1.0,0.58,2.28,1.07,1.05,0.87,0.63,0.58,0.43,0.26,0.48,0.45,0.47,0.36,0.36,0.51
b_0,0.9,0.85,0.79,1.31,1.83,0.91,0.5,0.51,0.27,0.44,0.25,0.47,0.48,0.35,0.35,0.35
f_0,1.62,1.0,0.79,1.07,0.88,0.94,0.59,0.38,0.41,0.5,0.36,0.23,0.42,0.41,0.5,0.3
a_0,0.98,0.77,1.11,1.04,1.02,1.69,0.51,0.52,0.38,0.37,0.25,0.46,0.22,0.39,0.49,0.35
h_0,1.13,0.94,0.95,0.93,0.85,0.92,0.84,0.56,0.43,0.48,0.41,0.4,0.33,0.65,0.44,0.41
e_0,1.43,,0.9,1.08,0.77,0.8,0.61,0.43,0.42,0.62,0.53,0.22,0.36,0.26,0.19,0.32
g_0,0.99,0.91,1.11,0.92,0.84,0.82,0.43,1.05,0.48,0.45,0.42,0.55,0.46,0.31,0.38,0.63
