,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.33,0.43,0.25,0.32,0.25,0.16,0.58,0.64,0.67,0.57,0.78,,0.82,0.45,0.51,0.64
e_1,0.22,2.37,0.31,0.28,0.25,0.32,0.59,0.84,0.59,0.74,0.45,0.62,0.68,0.64,,0.83
d_1,0.28,0.28,2.48,0.24,0.25,0.32,0.52,,0.46,1.07,0.66,0.62,0.81,0.81,0.66,0.58
c_1,0.3,0.27,0.3,2.55,0.37,0.33,0.61,0.6,0.36,,0.61,0.74,1.08,0.57,0.57,0.61
b_1,0.31,0.38,0.28,0.27,2.77,,0.59,0.66,0.57,0.48,,0.47,0.65,,,0.64
a_1,0.34,0.24,0.31,0.23,,3.28,0.4,0.78,,0.79,0.64,0.81,0.84,,,1.04
h_1,0.7,0.45,0.62,0.44,0.45,0.63,3.71,1.17,1.67,1.19,0.98,0.96,,1.03,1.27,2.04
d_0,0.77,0.65,,1.11,0.51,0.45,1.14,3.39,0.88,1.21,1.3,1.26,1.7,1.35,1.29,2.14
g_1,0.43,0.44,0.7,0.68,0.59,,0.64,1.27,4.23,1.16,1.43,1.76,1.38,1.1,1.31,
c_0,0.65,0.51,0.46,,0.67,0.43,1.48,1.17,1.21,3.58,2.13,1.32,2.1,1.43,1.47,2.32
b_0,0.41,0.77,0.66,0.54,,0.51,1.47,1.3,1.38,1.24,3.84,1.76,1.92,2.32,1.69,1.29
f_0,,0.6,0.72,0.55,0.97,0.51,1.24,1.59,1.06,1.44,1.35,4.03,1.71,1.24,2.49,1.39
h_0,0.89,0.8,0.62,0.55,0.86,0.91,,1.9,1.44,1.69,1.86,1.54,,2.1,2.01,2.21
a_0,0.72,0.48,0.58,0.67,,,1.72,1.35,1.42,1.43,1.12,1.65,1.4,4.66,,1.74
e_0,0.66,,0.59,0.53,,,1.49,1.85,1.39,1.47,1.24,1.36,1.74,,4.66,
g_0,0.7,0.62,1.21,0.85,1.12,0.64,1.17,1.33,,1.12,2.12,2.59,1.68,1.97,,
