,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.06,1.97,1.41,2.68,2.19,1.87,0.92,0.81,0.64,0.75,0.77,0.67,0.54,0.56,0.88,0.53
d_1,2.55,1.05,2.01,2.06,2.22,1.72,0.78,0.51,0.68,1.06,0.58,0.5,0.48,0.54,0.52,0.33
f_1,2.3,2.21,1.06,1.97,2.09,1.71,0.66,0.89,0.57,0.64,0.72,0.56,0.36,0.52,0.45,0.56
c_1,1.8,2.73,2.57,1.06,2.65,1.73,0.8,1.13,0.94,0.41,0.7,0.58,0.5,0.58,0.61,0.45
b_1,2.56,2.48,2.7,1.44,1.06,2.49,0.97,0.94,0.82,0.68,0.68,0.96,0.61,0.66,0.76,0.54
a_1,3.26,3.22,3.95,3.48,1.67,1.07,1.32,1.2,1.02,1.24,0.98,1.52,0.68,1.55,0.78,0.69
h_1,4.72,5.03,5.42,5.5,5.16,5.16,1.33,1.94,1.46,1.52,1.49,1.51,1.77,1.22,1.19,1.31
g_1,6.66,7.03,5.79,6.12,5.63,5.35,2.03,1.33,1.81,2.02,1.79,1.84,1.07,1.57,1.61,1.8
c_0,6.77,4.2,6.87,9.57,8.68,6.74,2.61,2.17,1.47,2.97,1.83,2.22,1.64,1.95,1.69,1.57
d_0,4.24,11.08,7.05,8.49,6.59,5.07,2.79,2.83,1.94,1.48,2.01,2.05,1.62,1.95,1.87,1.78
f_0,6.83,6.5,12.12,7.34,7.89,6.52,2.98,2.04,2.18,2.53,1.48,2.01,1.85,1.85,2.46,1.26
b_0,7.14,7.58,8.41,11.07,10.87,5.43,2.91,2.53,1.43,2.32,1.99,1.51,1.95,2.5,1.98,1.45
h_0,8.75,9.03,11.5,9.11,7.63,8.37,3.93,4.05,2.95,2.79,2.43,2.37,2.47,2.38,2.06,2.31
a_0,11.01,8.41,9.52,10.85,11.14,9.81,3.76,3.77,2.61,2.73,2.84,1.52,2.13,1.56,2.56,2.31
e_0,12.46,9.12,13.18,9.13,8.69,7.26,3.59,3.27,3.16,2.78,1.46,2.82,2.38,2.58,1.57,2.11
g_0,10.55,10.95,10.54,9.54,9.79,10.14,3.1,4.45,3.1,3.32,2.91,3.18,1.88,2.3,2.71,3.06
